period,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2025,1,IPF2221101,DUKE UNIVERSITY,Duke,47258163.0,47,46,14493464.0,18,0,46,NIH ORG_DEPT (contact PI),n/a,1027351.0,315075.0,1027351.0,1005493.0,30.7,True,2,2,4
FY2025,2,IPF9083901,WASHINGTON UNIVERSITY,WashU St. Louis,31820064.0,38,34,9638157.0,19,0,47,NIH ORG_DEPT (contact PI),n/a,677023.0,205067.0,935884.0,837370.0,30.3,True,3,8,3
FY2025,3,IPF577508,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",UCSF,27918696.0,35,34,10180093.0,11,0,38,NIH ORG_DEPT (contact PI),n/a,734703.0,267897.0,821138.0,797677.0,36.5,True,5,7,16
FY2025,4,MGB_CORE,Mass General Brigham,Mass General Brigham,26962224.0,31,30,11354096.0,18,0,22,Reconstructed from publication affiliations (lower bound),corroborated,1225556.0,516095.0,898741.0,869749.0,42.1,True,8,6,4
FY2025,5,IPF6463801,UNIVERSITY OF PENNSYLVANIA,Penn,25231393.0,17,17,6686508.0,10,0,27,NIH ORG_DEPT (contact PI),n/a,934496.0,247648.0,1484200.0,1484200.0,26.5,True,23,21,22
FY2025,6,IPF1506502,UNIVERSITY OF MICHIGAN AT ANN ARBOR,Michigan,22045654.0,49,49,15145336.0,26,0,53,NIH ORG_DEPT (contact PI),n/a,415956.0,285761.0,449911.0,449911.0,68.7,True,1,1,1
FY2025,7,IPF2059802,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,Pittsburgh,19224779.0,38,37,12136658.0,18,0,41,NIH ORG_DEPT (contact PI),n/a,468897.0,296016.0,519589.0,505915.0,63.1,True,3,4,4
FY2025,8,IPF5998304,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NYU Grossman,19001796.0,33,30,13786095.0,21,0,27,NIH ORG_DEPT (contact PI),n/a,703770.0,510596.0,633393.0,575812.0,72.6,True,6,3,2
FY2025,9,IPF8046501,STANFORD UNIVERSITY,Stanford,17940324.0,26,24,9288180.0,14,0,26,NIH ORG_DEPT (contact PI),n/a,690012.0,357238.0,747514.0,690012.0,51.8,True,10,10,9
FY2025,10,IPF6144650,NORTHWESTERN UNIVERSITY AT CHICAGO,Northwestern,17572168.0,21,21,7327799.0,11,0,20,NIH ORG_DEPT (contact PI),n/a,878608.0,366390.0,836770.0,836770.0,41.7,True,13,19,16
FY2025,11,IPF6218701,OHIO STATE UNIVERSITY,Ohio State,17455308.0,24,23,5986729.0,12,0,28,NIH ORG_DEPT (contact PI),n/a,623404.0,213812.0,758926.0,727304.0,34.3,True,11,24,13
FY2025,12,IPF1450402,UNIVERSITY OF MINNESOTA,Minnesota,16514952.0,23,22,8120502.0,11,0,33,NIH ORG_DEPT (contact PI),n/a,500453.0,246076.0,750680.0,718041.0,49.2,True,12,14,16
FY2025,13,BWH,Brigham and Women's Hospital,Brigham and Women's Hospital,16375579.0,10,9,3690257.0,6,0,8,Reconstructed from publication affiliations (lower bound),corroborated,2046947.0,461282.0,1819509.0,1637558.0,22.5,True,39,31,33
FY2025,14,IPF578503,UNIVERSITY OF WISCONSIN-MADISON,Wisconsin–Madison,14609829.0,32,31,9449928.0,16,0,31,NIH ORG_DEPT (contact PI),n/a,471285.0,304836.0,471285.0,456557.0,64.7,True,7,9,7
FY2025,15,IPF578407,UNIVERSITY OF TX MD ANDERSON CAN CTR,MD Anderson,14138770.0,21,21,7902575.0,12,0,27,NIH ORG_DEPT (contact PI),n/a,523658.0,292688.0,673275.0,673275.0,55.9,True,13,15,13
FY2025,16,IPF513806,UNIVERSITY OF FLORIDA,Florida,14053656.0,29,28,8547250.0,15,0,33,NIH ORG_DEPT (contact PI),n/a,425868.0,259008.0,501916.0,484609.0,60.8,True,9,12,8
FY2025,17,IPF1526402,UNIVERSITY OF VIRGINIA,Virginia,13474054.0,18,18,11821094.0,13,0,25,NIH ORG_DEPT (contact PI),n/a,538962.0,472844.0,748559.0,748559.0,87.7,True,19,5,10
FY2025,18,IPF4134401,JOHNS HOPKINS UNIVERSITY,Johns Hopkins,12290262.0,17,17,8609536.0,10,0,20,NIH ORG_DEPT (contact PI),n/a,614513.0,430477.0,722957.0,722957.0,70.1,True,23,11,22
FY2025,19,IPF1833205,COLUMBIA UNIVERSITY HEALTH SCIENCES,Columbia,11205970.0,17,15,4824095.0,9,0,15,NIH ORG_DEPT (contact PI),n/a,747065.0,321606.0,747065.0,659175.0,43.0,True,23,26,26
FY2025,20,IPF5221250,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,Miami,10803352.0,19,19,7671119.0,11,0,17,NIH ORG_DEPT (contact PI),n/a,635491.0,451242.0,568597.0,568597.0,71.0,True,18,17,16
FY2025,21,MGH,Massachusetts General Hospital,Massachusetts General Hospital,10586645.0,21,21,7663839.0,12,0,14,Reconstructed from publication affiliations (lower bound),corroborated,756189.0,547417.0,504126.0,504126.0,72.4,True,13,18,13
FY2025,22,IPF481201,BAYLOR COLLEGE OF MEDICINE,Baylor College of Medicine,10127084.0,18,18,8247881.0,13,0,24,NIH ORG_DEPT (contact PI),n/a,421962.0,343662.0,562616.0,562616.0,81.4,True,19,13,10
FY2025,23,IPF1514803,WEILL MEDICAL COLL OF CORNELL UNIV,Weill Cornell,10000633.0,17,17,7812007.0,13,0,23,NIH ORG_DEPT (contact PI),n/a,434810.0,339652.0,588273.0,588273.0,78.1,True,23,16,10
FY2025,24,IPF577503,UNIVERSITY OF CALIFORNIA AT DAVIS,UC Davis,9967693.0,16,14,2816188.0,5,0,12,NIH ORG_DEPT (contact PI),n/a,830641.0,234682.0,711978.0,622981.0,28.3,True,27,38,36
FY2025,25,IPF7047101,UNIVERSITY OF ROCHESTER,Rochester,9273361.0,11,11,1897198.0,4,0,15,NIH ORG_DEPT (contact PI),n/a,618224.0,126480.0,843033.0,843033.0,20.5,True,35,47,41
FY2025,26,IPF577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",UC San Diego,9176097.0,20,20,6030097.0,11,0,22,NIH ORG_DEPT (contact PI),n/a,417095.0,274095.0,458805.0,458805.0,65.7,True,16,22,16
FY2025,27,IPF2384501,EMORY UNIVERSITY,Emory,8952966.0,18,17,6977200.0,10,0,16,NIH ORG_DEPT (contact PI),n/a,559560.0,436075.0,526645.0,497387.0,77.9,True,19,20,22
FY2025,28,IPF578206,UNIV OF NORTH CAROLINA CHAPEL HILL,UNC Chapel Hill,7865510.0,14,14,3217838.0,5,0,15,NIH ORG_DEPT (contact PI),n/a,524367.0,214523.0,561822.0,561822.0,40.9,True,29,35,36
FY2025,29,IPF1199905,UNIVERSITY OF COLORADO DENVER,Colorado Denver,7820184.0,13,12,2416470.0,7,0,11,NIH ORG_DEPT (contact PI),n/a,710926.0,219679.0,651682.0,601553.0,30.9,True,30,43,30
FY2025,30,IPF577505,UNIVERSITY OF CALIFORNIA LOS ANGELES,UCLA,7314362.0,15,13,4220517.0,8,0,14,NIH ORG_DEPT (contact PI),n/a,522454.0,301466.0,562643.0,487624.0,57.7,True,28,27,28
FY2025,31,IPF10034168,RUTGERS BIOMEDICAL AND HEALTH SCIENCES,Rutgers Health (RBHS),7245955.0,11,8,2353802.0,4,0,9,NIH ORG_DEPT (contact PI),n/a,805106.0,261534.0,905744.0,658723.0,32.5,True,35,44,41
FY2025,32,IPF1288803,UNIVERSITY OF ALABAMA AT BIRMINGHAM,UAB,7209953.0,20,20,3318611.0,6,0,21,NIH ORG_DEPT (contact PI),n/a,343331.0,158029.0,360498.0,360498.0,46.0,True,16,34,33
FY2025,33,IPF820104,UNIVERSITY OF MARYLAND BALTIMORE,Maryland Baltimore,7101835.0,13,13,6004949.0,10,0,14,NIH ORG_DEPT (contact PI),n/a,507274.0,428925.0,546295.0,546295.0,84.6,True,30,23,22
FY2025,34,IPF577806,INDIANA UNIVERSITY INDIANAPOLIS,Indiana Indianapolis,6633379.0,18,18,4120860.0,9,0,20,NIH ORG_DEPT (contact PI),n/a,331669.0,206043.0,368521.0,368521.0,62.1,True,19,28,26
FY2025,35,IPF2793601,UNIVERSITY OF KENTUCKY,University of Kentucky,6509940.0,9,9,2673842.0,5,0,10,NIH ORG_DEPT (contact PI),n/a,650994.0,267384.0,723327.0,723327.0,41.1,True,42,40,36
FY2025,36,IPF9420201,YALE UNIVERSITY,Yale,6428703.0,13,13,5731060.0,11,0,17,NIH ORG_DEPT (contact PI),n/a,378159.0,337121.0,494516.0,494516.0,89.1,True,30,25,16
FY2025,37,IPF4679701,UNIVERSITY OF LOUISVILLE,University of Louisville,6389714.0,10,10,3819997.0,8,0,9,NIH ORG_DEPT (contact PI),n/a,709968.0,424444.0,638971.0,638971.0,59.8,True,39,30,28
FY2025,38,IPF7575301,MEDICAL UNIVERSITY OF SOUTH CAROLINA,MUSC,5156321.0,10,10,3914691.0,7,0,7,NIH ORG_DEPT (contact PI),n/a,736617.0,559242.0,515632.0,515632.0,75.9,True,39,29,30
FY2025,39,IPF578404,UT SOUTHWESTERN MEDICAL CENTER,UT Southwestern,5144776.0,12,12,3607022.0,7,0,13,NIH ORG_DEPT (contact PI),n/a,395752.0,277463.0,428731.0,428731.0,70.1,True,34,32,30
FY2025,40,IPF490201,UNIVERSITY OF ARIZONA,University of Arizona,4684824.0,11,9,3103849.0,5,0,14,NIH ORG_DEPT (contact PI),n/a,334630.0,221704.0,520536.0,425893.0,66.3,True,35,36,36
FY2025,41,IPF514002,UNIVERSITY OF UTAH,University of Utah,4494850.0,11,11,3427721.0,6,0,12,NIH ORG_DEPT (contact PI),n/a,374571.0,285643.0,408623.0,408623.0,76.3,True,35,33,33
FY2025,42,IPF577504,UNIVERSITY OF CALIFORNIA-IRVINE,UC Irvine,4175298.0,4,4,1007859.0,2,0,7,NIH ORG_DEPT (contact PI),n/a,596471.0,143980.0,1043824.0,1043824.0,24.1,True,51,59,55
FY2025,43,IPF1413601,UNIVERSITY OF CHICAGO,University of Chicago,3801904.0,7,7,1434718.0,3,0,8,NIH ORG_DEPT (contact PI),n/a,475238.0,179340.0,543129.0,543129.0,37.7,True,46,55,48
FY2025,44,IPF9021205,WAKE FOREST UNIVERSITY HEALTH SCIENCES,Wake Forest,3582375.0,8,8,2667535.0,4,0,14,NIH ORG_DEPT (contact PI),n/a,255884.0,190538.0,447797.0,447797.0,74.5,True,43,41,41
FY2025,45,IPF7636101,UNIVERSITY OF SOUTHERN CALIFORNIA,USC,3387794.0,13,12,1593743.0,4,0,13,NIH ORG_DEPT (contact PI),n/a,260600.0,122596.0,282316.0,260600.0,47.0,True,30,53,41
