period,is_ranked,is_reconstructed,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,is_rollup,rank_if_single_entity,rank_award_years,rank_award_years_if_single_entity,rank_r01_funding,rank_r01_funding_if_single_entity,rank_r01_award_years,rank_r01_award_years_if_single_entity,n_ranked
FY2021_FY2025,True,False,83.0,IPF5992614,STATE UNIVERSITY OF NEW YORK AT BUFFALO,University at Buffalo,3012291.0,5,2,2560634.0,4,0,4,NIH ORG_DEPT (contact PI),n/a,753073.0,640158.0,1506146.0,602458.0,85.0,False,False,,86.0,,79.0,,80.0,,119
FY2021_FY2025,True,False,84.0,IPF578406,UNIVERSITY OF TEXAS MED BR GALVESTON,UTMB Galveston,2680695.0,10,4,0.0,0,0,7,NIH ORG_DEPT (contact PI),n/a,382956.0,0.0,670174.0,268070.0,0.0,True,False,,80.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,85.0,IPF6297007,OREGON HEALTH & SCIENCE UNIVERSITY,OHSU,2614064.0,13,6,857480.0,3,0,7,NIH ORG_DEPT (contact PI),n/a,373438.0,122497.0,435677.0,201082.0,32.8,True,False,,77.0,,91.0,,84.0,,119
FY2021_FY2025,True,False,86.0,IPF10021612,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,UNM Health Sciences,2613286.0,7,4,2423242.0,6,0,4,NIH ORG_DEPT (contact PI),n/a,653322.0,605810.0,653322.0,373327.0,92.7,False,False,,83.0,,81.0,,78.0,,119
FY2021_FY2025,True,False,87.0,IPF3839801,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,Mount Sinai,1892627.0,4,4,1723152.0,3,0,3,NIH ORG_DEPT (contact PI),n/a,630876.0,574384.0,473157.0,473157.0,91.0,False,False,,93.0,,83.0,,84.0,,119
FY2021_FY2025,True,False,88.0,IPF8455007,ALBANY MEDICAL COLLEGE,Albany Medical College,1771288.0,5,2,1380095.0,3,0,3,NIH ORG_DEPT (contact PI),n/a,590429.0,460032.0,885644.0,354258.0,77.9,False,False,,86.0,,87.0,,84.0,,119
FY2021_FY2025,True,False,89.0,IPF577902,LSU HEALTH SCIENCES CENTER,LSU Health New Orleans,1728598.0,5,2,1728598.0,5,0,3,NIH ORG_DEPT (contact PI),n/a,576199.0,576199.0,864299.0,345720.0,100.0,False,False,,86.0,,82.0,,79.0,,119
FY2021_FY2025,True,False,90.0,IPF1003201,BROWN UNIVERSITY,Brown University,1707931.0,3,1,1707931.0,3,0,1,NIH ORG_DEPT (contact PI),n/a,1707931.0,1707931.0,1707931.0,569310.0,100.0,False,False,,98.0,,85.0,,84.0,,119
FY2021_FY2025,True,False,91.0,IPF2869001,GEORGETOWN UNIVERSITY,Georgetown University,1541823.0,4,2,1541823.0,4,0,2,NIH ORG_DEPT (contact PI),n/a,770912.0,770912.0,770912.0,385456.0,100.0,False,False,,93.0,,86.0,,80.0,,119
FY2021_FY2025,True,False,92.0,IPF676605,AUGUSTA UNIVERSITY,Augusta University,1347334.0,2,1,1347334.0,2,0,1,NIH ORG_DEPT (contact PI),n/a,1347334.0,1347334.0,1347334.0,673667.0,100.0,False,False,,101.0,,88.0,,91.0,,119
FY2021_FY2025,True,False,93.0,IPF4050801,THOMAS JEFFERSON UNIVERSITY,Thomas Jefferson University,1217371.0,5,2,1061371.0,3,0,2,NIH ORG_DEPT (contact PI),n/a,608686.0,530686.0,608686.0,243474.0,87.2,False,False,,86.0,,90.0,,84.0,,119
FY2021_FY2025,True,False,94.0,IPF829903,UNIVERSITY OF NEVADA RENO,"University of Nevada, Reno",1119208.0,4,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,1119208.0,0.0,1119208.0,279802.0,0.0,False,False,,93.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,95.0,IPF10034169,RBHS-NEW JERSEY MEDICAL SCHOOL,Rutgers NJ Medical School,1021005.0,5,4,0.0,0,0,3,NIH ORG_DEPT (contact PI),n/a,340335.0,0.0,255251.0,204201.0,0.0,False,False,,86.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,96.0,IPF2863301,GEORGE WASHINGTON UNIVERSITY,George Washington University,951309.0,3,2,0.0,0,0,4,NIH ORG_DEPT (contact PI),n/a,237827.0,0.0,475654.0,317103.0,0.0,False,False,,98.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,97.0,IPF8424601,TULANE UNIVERSITY OF LOUISIANA,Tulane,945314.0,4,2,586082.0,2,0,1,NIH ORG_DEPT (contact PI),n/a,945314.0,586082.0,472657.0,236328.0,62.0,False,False,,93.0,,93.0,,91.0,,119
FY2021_FY2025,True,False,98.0,IPF5390304,UNIVERSITY OF MISSISSIPPI MED CTR,Mississippi Medical Center,943752.0,7,2,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,471876.0,0.0,471876.0,134822.0,0.0,False,False,,83.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,99.0,IPF850903,UNIV OF MASSACHUSETTS MED SCH WORCESTER,UMass Chan Medical School,863108.0,5,2,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,431554.0,0.0,431554.0,172622.0,0.0,False,False,,86.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,100.0,IPF578209,EAST CAROLINA UNIVERSITY,East Carolina University,754312.0,2,1,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,377156.0,0.0,754312.0,377156.0,0.0,False,False,,101.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,101.0,IPF578418,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,UT Health San Antonio,750022.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,750022.0,0.0,750022.0,750022.0,0.0,False,False,,106.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,102.0,IPF513809,FLORIDA INTERNATIONAL UNIVERSITY,Florida International,709718.0,1,1,709718.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,709718.0,709718.0,709718.0,709718.0,100.0,False,False,,106.0,,92.0,,93.0,,119
FY2021_FY2025,True,True,103.0,IPF3617301,Boston Medical Center,Boston Medical Center,696928.0,5,1,0.0,0,0,1,Reconstructed from publication affiliations (lower bound),corroborated,696928.0,0.0,696928.0,139386.0,0.0,False,False,,86.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,104.0,IPF1484303,UNIVERSITY OF KANSAS MEDICAL CENTER,Kansas Medical Center,474168.0,1,1,474168.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,474168.0,474168.0,474168.0,474168.0,100.0,False,False,,106.0,,94.0,,93.0,,119
FY2021_FY2025,True,False,105.0,IPF8240301,TEMPLE UNIV OF THE COMMONWEALTH,Temple University,451734.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,451734.0,0.0,451734.0,225867.0,0.0,False,False,,101.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,106.0,IPF5992619,UPSTATE MEDICAL UNIVERSITY,SUNY Upstate,448250.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,448250.0,0.0,448250.0,224125.0,0.0,False,False,,101.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,107.0,IPF8285902,TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,Texas Tech Health Sciences,438087.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,438087.0,0.0,438087.0,219044.0,0.0,False,False,,101.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,108.0,IPF8721001,VANDERBILT UNIVERSITY,Vanderbilt University,417500.0,4,3,0.0,0,0,5,NIH ORG_DEPT (contact PI),n/a,83500.0,0.0,139167.0,104375.0,0.0,True,False,,93.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,109.0,IPF578705,UNIVERSITY OF PUERTO RICO MED SCIENCES,Puerto Rico Medical Sciences,243119.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,243119.0,0.0,243119.0,243119.0,0.0,False,False,,106.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,110.0,IPF10034170,RBHS-ROBERT WOOD JOHNSON MEDICAL SCHOOL,Rutgers RWJ Medical School,66390.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,66390.0,0.0,66390.0,66390.0,0.0,False,False,,106.0,,95.0,,95.0,,119
FY2021_FY2025,True,False,111.0,IPF130401,UNIVERSITY OF SOUTH ALABAMA,University of South Alabama,1.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,1.0,0.0,1.0,1.0,0.0,False,False,,106.0,,95.0,,95.0,,119
FY2021_FY2025,True,True,112.0,MEEI,Mass Eye and Ear,Mass Eye and Ear,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,112.0,,95.0,,95.0,,119
FY2021_FY2025,True,True,112.0,IPF4155008,Feinstein Institutes for Medical Research,Feinstein Institutes for Medical Research,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,112.0,,95.0,,95.0,,119
FY2021_FY2025,True,True,112.0,IPF3736101,Moffitt Cancer Center,Moffitt Cancer Center,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,112.0,,95.0,,95.0,,119
FY2021_FY2025,True,True,112.0,DFCI,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,112.0,,95.0,,95.0,,119
FY2021_FY2025,True,True,112.0,IPF4976105,Mayo Clinic Jacksonville,Mayo Clinic Jacksonville,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,112.0,,95.0,,95.0,,119
FY2021_FY2025,True,True,112.0,IPF10068583,Fred Hutch,Fred Hutch,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,112.0,,95.0,,95.0,,119
FY2021_FY2025,True,True,112.0,IPF861001,Fred Hutch (pre-2022),Fred Hutch (pre-2022),0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,112.0,,95.0,,95.0,,119
FY2021_FY2025,True,True,112.0,IPF1531401,Seattle Children's,Seattle Children's,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,112.0,,95.0,,95.0,,119
