period,confidence_floor,scope,entity,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,rule,validation_kappa,validation_precision_pct,validation_sensitivity_pct
FY2024_FY2025,corroborated,Department of Surgery,MEEI,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,MGB_CORE,104576157.0,133,75,38273139.0,70,0,54,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,MGH,160711713.0,255,102,58431979.0,118,0,56,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,BWH,105321594.0,109,32,33434296.0,61,0,24,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF10040927,36680452.0,79,28,26644743.0,46,0,21,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF10068583,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF861001,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF4976101,13046060.0,19,8,11224532.0,17,0,6,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF1504801,75642811.0,127,50,64559512.0,95,0,22,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF5079202,91309391.0,63,23,16850342.0,31,0,16,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF615001,9175748.0,21,6,7953748.0,17,0,5,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,DFCI,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF1499101,27508983.0,21,9,7532909.0,13,0,3,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,BIDMC,30136591.0,53,23,18196402.0,30,0,11,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF1225501,5493250.0,10,7,5326250.0,9,0,6,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF7893501,13270541.0,25,9,8913721.0,14,0,4,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF1531401,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF3058203,14312846.0,23,8,13424419.0,19,0,7,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF1495302,17378298.0,40,12,13958180.0,32,0,5,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF4976105,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2021_FY2025,corroborated,Department of Surgery,IPF3736101,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
