period,is_ranked,is_reconstructed,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,is_rollup,rank_if_single_entity,rank_award_years,rank_award_years_if_single_entity,rank_r01_funding,rank_r01_funding_if_single_entity,rank_r01_award_years,rank_r01_award_years_if_single_entity,n_ranked
FY2024_FY2025,True,False,12.0,IPF6218701,OHIO STATE UNIVERSITY,Ohio State,33668167.0,46,26,11373166.0,23,0,34,NIH ORG_DEPT (contact PI),n/a,990240.0,334505.0,1294930.0,731917.0,33.8,True,False,,13.0,,26.0,,15.0,,108
FY2024_FY2025,True,False,13.0,IPF8046501,STANFORD UNIVERSITY,Stanford,32188398.0,57,32,16296739.0,30,0,32,NIH ORG_DEPT (contact PI),n/a,1005887.0,509273.0,1005887.0,564709.0,50.6,True,False,,10.0,,11.0,,9.0,,108
FY2024_FY2025,True,True,14.0,IPF1504801,Boston Children's,Boston Children's,32008908.0,57,34,27211185.0,41,0,18,Reconstructed from publication affiliations (lower bound),corroborated,1778273.0,1511732.0,941438.0,561560.0,85.0,True,False,,10.0,,2.0,,4.0,,108
FY2024_FY2025,True,False,15.0,IPF5998304,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NYU Grossman,30988460.0,59,38,22437394.0,34,0,38,NIH ORG_DEPT (contact PI),n/a,815486.0,590458.0,815486.0,525228.0,72.4,True,False,,8.0,,6.0,,7.0,,108
FY2024_FY2025,True,False,16.0,IPF513806,UNIVERSITY OF FLORIDA,Florida,30372677.0,59,36,16269452.0,30,0,44,NIH ORG_DEPT (contact PI),n/a,690288.0,369760.0,843685.0,514791.0,53.6,True,False,,8.0,,12.0,,9.0,,108
FY2024_FY2025,True,False,17.0,IPF578503,UNIVERSITY OF WISCONSIN-MADISON,Wisconsin–Madison,29010553.0,65,41,19792209.0,33,0,41,NIH ORG_DEPT (contact PI),n/a,707574.0,482737.0,707574.0,446316.0,68.2,True,False,,7.0,,9.0,,8.0,,108
FY2024_FY2025,True,False,18.0,IPF578407,UNIVERSITY OF TX MD ANDERSON CAN CTR,MD Anderson,27348903.0,46,28,15080425.0,28,0,32,NIH ORG_DEPT (contact PI),n/a,854653.0,471263.0,976747.0,594541.0,55.1,True,False,,13.0,,15.0,,11.0,,108
FY2024_FY2025,True,False,19.0,IPF1526402,UNIVERSITY OF VIRGINIA,Virginia,23978398.0,38,22,20505063.0,27,0,31,NIH ORG_DEPT (contact PI),n/a,773497.0,661454.0,1089927.0,631010.0,85.5,True,False,,20.0,,8.0,,12.0,,108
FY2024_FY2025,True,False,20.0,IPF1833205,COLUMBIA UNIVERSITY HEALTH SCIENCES,Columbia,23534626.0,35,17,10977651.0,20,0,19,NIH ORG_DEPT (contact PI),n/a,1238665.0,577771.0,1384390.0,672418.0,46.6,True,False,,23.0,,29.0,,24.0,,108
FY2024_FY2025,True,False,21.0,IPF4134401,JOHNS HOPKINS UNIVERSITY,Johns Hopkins,20955206.0,34,24,12855985.0,17,0,24,NIH ORG_DEPT (contact PI),n/a,873134.0,535666.0,873134.0,616330.0,61.3,True,False,,25.0,,22.0,,30.0,,108
FY2024_FY2025,True,False,22.0,IPF7047101,UNIVERSITY OF ROCHESTER,Rochester,20015449.0,25,15,3971005.0,8,0,18,NIH ORG_DEPT (contact PI),n/a,1111969.0,220611.0,1334363.0,800618.0,19.8,True,False,,36.0,,54.0,,47.0,,108
FY2024_FY2025,True,False,23.0,IPF1514803,WEILL MEDICAL COLL OF CORNELL UNIV,Weill Cornell,18797835.0,33,21,16229623.0,27,0,25,NIH ORG_DEPT (contact PI),n/a,751913.0,649185.0,895135.0,569631.0,86.3,True,False,,26.0,,13.0,,12.0,,108
FY2024_FY2025,True,False,24.0,IPF577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",UC San Diego,18623541.0,42,24,11226045.0,22,0,25,NIH ORG_DEPT (contact PI),n/a,744942.0,449042.0,775981.0,443418.0,60.3,True,False,,17.0,,28.0,,21.0,,108
FY2024_FY2025,True,False,25.0,IPF577503,UNIVERSITY OF CALIFORNIA AT DAVIS,UC Davis,18231881.0,28,16,5619217.0,10,0,14,NIH ORG_DEPT (contact PI),n/a,1302277.0,401373.0,1139493.0,651139.0,30.8,True,False,,32.0,,45.0,,43.0,,108
FY2024_FY2025,True,False,26.0,IPF5221250,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,Miami,18108352.0,41,25,11597452.0,20,0,23,NIH ORG_DEPT (contact PI),n/a,787320.0,504237.0,724334.0,441667.0,64.0,True,False,,18.0,,25.0,,24.0,,108
FY2024_FY2025,True,True,27.0,IPF10040927,Vanderbilt Medical Center,Vanderbilt Medical Center,17802326.0,33,18,12991478.0,19,0,14,Reconstructed from publication affiliations (lower bound),corroborated,1271595.0,927963.0,989018.0,539464.0,73.0,True,False,,26.0,,21.0,,28.0,,108
FY2024_FY2025,True,False,28.0,IPF481201,BAYLOR COLLEGE OF MEDICINE,Baylor College of Medicine,17296178.0,35,24,13772851.0,23,0,29,NIH ORG_DEPT (contact PI),n/a,596420.0,474926.0,720674.0,494177.0,79.6,True,False,,23.0,,18.0,,15.0,,108
FY2024_FY2025,True,False,29.0,IPF577505,UNIVERSITY OF CALIFORNIA LOS ANGELES,UCLA,17067341.0,32,20,10336373.0,20,0,22,NIH ORG_DEPT (contact PI),n/a,775788.0,469835.0,853367.0,533354.0,60.6,True,False,,28.0,,30.0,,24.0,,108
FY2024_FY2025,True,True,30.0,IPF1499101,CHOP,CHOP,16302616.0,11,6,2742245.0,4,0,3,Reconstructed from publication affiliations (lower bound),corroborated,5434205.0,914082.0,2717103.0,1482056.0,16.8,False,False,,57.0,,66.0,,68.0,,108
FY2024_FY2025,True,True,31.0,IPF10005742,Houston Methodist,Houston Methodist,15862798.0,27,15,14150700.0,23,0,8,Reconstructed from publication affiliations (lower bound),corroborated,1982850.0,1768838.0,1057520.0,587511.0,89.2,True,False,,34.0,,17.0,,15.0,,108
FY2024_FY2025,True,False,32.0,IPF2384501,EMORY UNIVERSITY,Emory,15733142.0,38,19,11894297.0,23,0,17,NIH ORG_DEPT (contact PI),n/a,925479.0,699665.0,828060.0,414030.0,75.6,True,False,,20.0,,24.0,,15.0,,108
FY2024_FY2025,True,False,33.0,IPF1288803,UNIVERSITY OF ALABAMA AT BIRMINGHAM,UAB,15147906.0,41,25,7216216.0,13,0,25,NIH ORG_DEPT (contact PI),n/a,605916.0,288649.0,605916.0,369461.0,47.6,True,False,,18.0,,38.0,,37.0,,108
FY2024_FY2025,True,False,34.0,IPF820104,UNIVERSITY OF MARYLAND BALTIMORE,Maryland Baltimore,15093059.0,30,18,12294713.0,21,0,16,NIH ORG_DEPT (contact PI),n/a,943316.0,768420.0,838503.0,503102.0,81.5,True,False,,30.0,,23.0,,23.0,,108
FY2024_FY2025,True,False,35.0,IPF578206,UNIV OF NORTH CAROLINA CHAPEL HILL,UNC Chapel Hill,14957188.0,28,14,5678623.0,9,0,15,NIH ORG_DEPT (contact PI),n/a,997146.0,378575.0,1068371.0,534185.0,38.0,True,False,,32.0,,44.0,,44.0,,108
FY2024_FY2025,True,False,36.0,IPF9420201,YALE UNIVERSITY,Yale,14796317.0,30,15,13330126.0,25,0,18,NIH ORG_DEPT (contact PI),n/a,822018.0,740563.0,986421.0,493211.0,90.1,True,False,,30.0,,20.0,,14.0,,108
FY2024_FY2025,True,False,37.0,IPF10034168,RUTGERS BIOMEDICAL AND HEALTH SCIENCES,Rutgers Health (RBHS),13690589.0,20,8,4220417.0,7,0,9,NIH ORG_DEPT (contact PI),n/a,1521177.0,468935.0,1711324.0,684529.0,30.8,True,False,,43.0,,51.0,,51.0,,108
FY2024_FY2025,True,False,38.0,IPF4679701,UNIVERSITY OF LOUISVILLE,University of Louisville,12850436.0,19,11,6867313.0,14,0,11,NIH ORG_DEPT (contact PI),n/a,1168221.0,624301.0,1168221.0,676339.0,53.4,True,False,,46.0,,40.0,,34.0,,108
FY2024_FY2025,True,False,39.0,IPF2793601,UNIVERSITY OF KENTUCKY,University of Kentucky,12654023.0,21,12,4360863.0,8,0,12,NIH ORG_DEPT (contact PI),n/a,1054502.0,363405.0,1054502.0,602573.0,34.5,True,False,,42.0,,49.0,,47.0,,108
FY2024_FY2025,True,False,40.0,IPF1199905,UNIVERSITY OF COLORADO DENVER,Colorado Denver,12501323.0,27,14,5866835.0,17,0,12,NIH ORG_DEPT (contact PI),n/a,1041777.0,488903.0,892952.0,463012.0,46.9,True,False,,34.0,,43.0,,30.0,,108
FY2024_FY2025,True,False,41.0,IPF577806,INDIANA UNIVERSITY INDIANAPOLIS,Indiana Indianapolis,12216554.0,31,19,8017298.0,17,0,21,NIH ORG_DEPT (contact PI),n/a,581741.0,381776.0,642977.0,394082.0,65.6,True,False,,29.0,,32.0,,30.0,,108
FY2024_FY2025,True,True,42.0,BIDMC,Beth Israel Deaconess,Beth Israel Deaconess,11658826.0,20,12,9166485.0,13,0,9,Reconstructed from publication affiliations (lower bound),corroborated,1295425.0,1018498.0,971569.0,582941.0,78.6,True,False,,43.0,,31.0,,37.0,,108
FY2024_FY2025,True,False,43.0,IPF578404,UT SOUTHWESTERN MEDICAL CENTER,UT Southwestern,10897605.0,25,16,7846840.0,16,0,15,NIH ORG_DEPT (contact PI),n/a,726507.0,523123.0,681100.0,435904.0,72.0,True,False,,36.0,,33.0,,33.0,,108
FY2024_FY2025,True,False,44.0,IPF514002,UNIVERSITY OF UTAH,University of Utah,9913507.0,25,15,7303003.0,13,0,17,NIH ORG_DEPT (contact PI),n/a,583147.0,429588.0,660900.0,396540.0,73.7,True,False,,36.0,,37.0,,37.0,,108
FY2024_FY2025,True,False,45.0,IPF490201,UNIVERSITY OF ARIZONA,University of Arizona,9608371.0,25,11,6492322.0,12,0,18,NIH ORG_DEPT (contact PI),n/a,533798.0,360685.0,873488.0,384335.0,67.6,True,False,,36.0,,41.0,,41.0,,108
FY2024_FY2025,True,False,46.0,IPF1413601,UNIVERSITY OF CHICAGO,University of Chicago,9407897.0,18,12,4609617.0,9,0,15,NIH ORG_DEPT (contact PI),n/a,627193.0,307308.0,783991.0,522661.0,49.0,True,False,,48.0,,47.0,,44.0,,108
FY2024_FY2025,True,False,47.0,IPF7575301,MEDICAL UNIVERSITY OF SOUTH CAROLINA,MUSC,9320439.0,19,13,7632442.0,14,0,8,NIH ORG_DEPT (contact PI),n/a,1165055.0,954055.0,716957.0,490549.0,81.9,True,False,,46.0,,36.0,,34.0,,108
FY2024_FY2025,True,True,48.0,IPF1518602,Children's National Hospital,Children's National Hospital,8279897.0,17,11,7783820.0,13,0,9,Reconstructed from publication affiliations (lower bound),corroborated,919989.0,864869.0,752718.0,487053.0,94.0,True,False,,49.0,,34.0,,37.0,,108
FY2024_FY2025,True,True,49.0,IPF1495302,Nationwide Children's,Nationwide Children's,7853473.0,17,9,6480259.0,14,0,4,Reconstructed from publication affiliations (lower bound),corroborated,1963368.0,1620065.0,872608.0,461969.0,82.5,False,False,,49.0,,42.0,,34.0,,108
FY2024_FY2025,True,True,50.0,IPF6959701,Rhode Island Hospital,Rhode Island Hospital,7154532.0,20,10,2887034.0,4,0,7,Reconstructed from publication affiliations (lower bound),corroborated,1022076.0,412433.0,715453.0,357727.0,40.4,True,False,,43.0,,64.0,,68.0,,108
FY2024_FY2025,True,True,51.0,IPF3058203,City of Hope,City of Hope,6885093.0,9,5,6885093.0,9,0,5,Reconstructed from publication affiliations (lower bound),corroborated,1377019.0,1377019.0,1377019.0,765010.0,100.0,True,False,,64.0,,39.0,,44.0,,108
FY2024_FY2025,True,True,52.0,IPF4976101,Mayo Clinic Rochester,Mayo Clinic Rochester,6734239.0,10,6,4912711.0,8,0,5,Reconstructed from publication affiliations (lower bound),corroborated,1346848.0,982542.0,1122373.0,673424.0,73.0,True,False,,60.0,,46.0,,47.0,,108
FY2024_FY2025,True,False,53.0,IPF7636101,UNIVERSITY OF SOUTHERN CALIFORNIA,USC,6639607.0,25,14,2941524.0,7,0,14,NIH ORG_DEPT (contact PI),n/a,474258.0,210109.0,474258.0,265584.0,44.3,True,False,,36.0,,63.0,,51.0,,108
FY2024_FY2025,True,True,54.0,IPF1525701,Lurie Children's Hospital of Chicago,Lurie Children's Hospital of Chicago,5829038.0,13,8,4439633.0,8,0,6,Reconstructed from publication affiliations (lower bound),corroborated,971506.0,739939.0,728630.0,448388.0,76.2,True,False,,54.0,,48.0,,47.0,,108
FY2024_FY2025,True,False,55.0,IPF9021205,WAKE FOREST UNIVERSITY HEALTH SCIENCES,Wake Forest,5611948.0,16,12,3729859.0,6,0,17,NIH ORG_DEPT (contact PI),n/a,330115.0,219403.0,467662.0,350747.0,66.5,True,False,,51.0,,55.0,,55.0,,108
FY2024_FY2025,True,True,56.0,IPF7893501,St. Jude,St. Jude,5540387.0,10,6,4002105.0,6,0,3,Reconstructed from publication affiliations (lower bound),corroborated,1846796.0,1334035.0,923398.0,554039.0,72.2,False,False,,60.0,,53.0,,55.0,,108
FY2024_FY2025,True,False,57.0,IPF577504,UNIVERSITY OF CALIFORNIA-IRVINE,UC Irvine,5284715.0,7,5,1983125.0,4,0,9,NIH ORG_DEPT (contact PI),n/a,587191.0,220347.0,1056943.0,754959.0,37.5,True,False,,67.0,,73.0,,68.0,,108
FY2024_FY2025,True,False,58.0,IPF9087701,UNIVERSITY OF WASHINGTON,University of Washington,5033583.0,14,8,1529993.0,4,0,9,NIH ORG_DEPT (contact PI),n/a,559287.0,169999.0,629198.0,359542.0,30.4,True,False,,53.0,,76.0,,68.0,,108
FY2024_FY2025,True,False,59.0,IPF1524003,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OU Health Sciences Center,4998942.0,8,4,4273942.0,6,0,5,NIH ORG_DEPT (contact PI),n/a,999788.0,854788.0,1249736.0,624868.0,85.5,True,False,,66.0,,50.0,,55.0,,108
FY2024_FY2025,True,False,60.0,IPF353201,VIRGINIA COMMONWEALTH UNIVERSITY,VCU,4982257.0,9,5,2886781.0,6,0,5,NIH ORG_DEPT (contact PI),n/a,996451.0,577356.0,996451.0,553584.0,57.9,True,False,,64.0,,65.0,,55.0,,108
FY2024_FY2025,True,False,61.0,IPF4689203,LOYOLA UNIVERSITY CHICAGO,Loyola University Chicago,4777717.0,15,10,3263569.0,6,0,10,NIH ORG_DEPT (contact PI),n/a,477772.0,326357.0,477772.0,318514.0,68.3,True,False,,52.0,,58.0,,55.0,,108
FY2024_FY2025,True,False,62.0,IPF46001,MEDICAL COLLEGE OF WISCONSIN,Medical College of Wisconsin,4467374.0,12,9,3154652.0,6,0,12,NIH ORG_DEPT (contact PI),n/a,372281.0,262888.0,496375.0,372281.0,70.6,True,False,,55.0,,59.0,,55.0,,108
FY2024_FY2025,True,False,63.0,IPF513807,UNIVERSITY OF SOUTH FLORIDA,University of South Florida,4322052.0,12,7,2147134.0,6,0,8,NIH ORG_DEPT (contact PI),n/a,540256.0,268392.0,617436.0,360171.0,49.7,True,False,,55.0,,71.0,,55.0,,108
FY2024_FY2025,True,False,64.0,IPF578104,UNIVERSITY OF NEBRASKA MEDICAL CENTER,Nebraska Medical Center,4295601.0,10,7,3526941.0,7,0,5,NIH ORG_DEPT (contact PI),n/a,859120.0,705388.0,613657.0,429560.0,82.1,True,False,,60.0,,57.0,,51.0,,108
FY2024_FY2025,True,False,65.0,IPF1524204,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,Penn State Hershey,4279319.0,7,5,4112519.0,6,0,4,NIH ORG_DEPT (contact PI),n/a,1069830.0,1028130.0,855864.0,611331.0,96.1,False,False,,67.0,,52.0,,55.0,,108
FY2024_FY2025,True,False,66.0,IPF578002,UNIVERSITY OF MISSOURI-COLUMBIA,University of Missouri,4253255.0,11,7,3685319.0,7,0,5,NIH ORG_DEPT (contact PI),n/a,850651.0,737064.0,607608.0,386660.0,86.6,True,False,,57.0,,56.0,,51.0,,108
FY2024_FY2025,True,False,67.0,IPF10000858,CLEVELAND CLINIC LERNER COM-CWRU,Cleveland Clinic,4173533.0,7,6,2152315.0,3,0,5,NIH ORG_DEPT (contact PI),n/a,834707.0,430463.0,695589.0,596219.0,51.6,True,False,,67.0,,70.0,,74.0,,108
FY2024_FY2025,True,False,68.0,IPF1274603,EAST TENNESSEE STATE UNIVERSITY,East Tennessee State,3915421.0,10,7,3125171.0,6,0,5,NIH ORG_DEPT (contact PI),n/a,783084.0,625034.0,559346.0,391542.0,79.8,True,False,,60.0,,60.0,,55.0,,108
FY2024_FY2025,True,False,69.0,IPF894901,BOSTON UNIVERSITY MEDICAL CAMPUS,BU Medical Campus,3359957.0,11,6,1469183.0,5,0,8,NIH ORG_DEPT (contact PI),n/a,419995.0,183648.0,559993.0,305451.0,43.7,True,False,,57.0,,78.0,,65.0,,108
FY2024_FY2025,True,False,70.0,IPF8738101,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,University of Vermont,3096081.0,6,3,3096081.0,6,0,4,NIH ORG_DEPT (contact PI),n/a,774020.0,774020.0,1032027.0,516014.0,100.0,False,False,,70.0,,61.0,,55.0,,108
FY2024_FY2025,True,False,71.0,IPF578302,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,UTHSC Memphis,3010432.0,1,1,3010432.0,1,0,2,NIH ORG_DEPT (contact PI),n/a,1505216.0,1505216.0,3010432.0,3010432.0,100.0,False,False,,95.0,,62.0,,82.0,,108
FY2024_FY2025,True,True,72.0,IPF1520001,Children's Hospital of Los Angeles,Children's Hospital of Los Angeles,2930329.0,6,4,2538267.0,4,0,4,Reconstructed from publication affiliations (lower bound),corroborated,732582.0,634567.0,732582.0,488388.0,86.6,False,False,,70.0,,68.0,,68.0,,108
FY2024_FY2025,True,False,73.0,IPF578403,UNIVERSITY OF TEXAS AT AUSTIN,UT Austin,2811719.0,5,4,1354247.0,2,0,6,NIH ORG_DEPT (contact PI),n/a,468620.0,225708.0,702930.0,562344.0,48.2,True,False,,73.0,,79.0,,77.0,,108
FY2024_FY2025,True,True,74.0,IPF615001,Cincinnati Children's,Cincinnati Children's,2623291.0,5,3,2623291.0,5,0,3,Reconstructed from publication affiliations (lower bound),corroborated,874430.0,874430.0,874430.0,524658.0,100.0,False,False,,73.0,,67.0,,65.0,,108
FY2024_FY2025,True,False,75.0,IPF218601,CASE WESTERN RESERVE UNIVERSITY,Case Western Reserve,2507038.0,5,3,2507038.0,5,0,3,NIH ORG_DEPT (contact PI),n/a,835679.0,835679.0,835679.0,501408.0,100.0,False,False,,73.0,,69.0,,65.0,,108
FY2024_FY2025,True,False,76.0,IPF1506603,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,UConn Health,2207129.0,5,4,1988265.0,4,0,4,NIH ORG_DEPT (contact PI),n/a,551782.0,497066.0,551782.0,441426.0,90.1,False,False,,73.0,,72.0,,68.0,,108
FY2024_FY2025,True,False,77.0,IPF3839801,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,Mount Sinai,1892627.0,4,4,1723152.0,3,0,3,NIH ORG_DEPT (contact PI),n/a,630876.0,574384.0,473157.0,473157.0,91.0,False,False,,78.0,,74.0,,74.0,,108
FY2024_FY2025,True,False,78.0,IPF1523902,UNIVERSITY OF CINCINNATI,University of Cincinnati,1874568.0,6,4,0.0,0,0,5,NIH ORG_DEPT (contact PI),n/a,374914.0,0.0,468642.0,312428.0,0.0,True,False,,70.0,,88.0,,88.0,,108
FY2024_FY2025,True,False,79.0,IPF577703,UNIVERSITY OF ILLINOIS AT CHICAGO,Illinois Chicago,1689152.0,4,3,1476104.0,3,0,2,NIH ORG_DEPT (contact PI),n/a,844576.0,738052.0,563051.0,422288.0,87.4,False,False,,78.0,,77.0,,74.0,,108
FY2024_FY2025,True,True,80.0,IPF1225501,Cedars-Sinai,Cedars-Sinai,1548555.0,2,2,1548555.0,2,0,2,Reconstructed from publication affiliations (lower bound),corroborated,774278.0,774278.0,774278.0,774278.0,100.0,False,False,,83.0,,75.0,,77.0,,108
FY2024_FY2025,True,False,81.0,HMS,Harvard Medical School,Harvard Medical School,1345332.0,3,2,1213132.0,2,0,2,NIH ORG_DEPT (contact PI),n/a,672666.0,606566.0,672666.0,448444.0,90.2,False,False,,81.0,,80.0,,77.0,,108
FY2024_FY2025,True,False,82.0,IPF578406,UNIVERSITY OF TEXAS MED BR GALVESTON,UTMB Galveston,1207428.0,4,2,0.0,0,0,4,NIH ORG_DEPT (contact PI),n/a,301857.0,0.0,603714.0,301857.0,0.0,False,False,,78.0,,88.0,,88.0,,108
FY2024_FY2025,True,False,83.0,IPF1003201,BROWN UNIVERSITY,Brown University,1100455.0,2,1,1100455.0,2,0,1,NIH ORG_DEPT (contact PI),n/a,1100455.0,1100455.0,1100455.0,550228.0,100.0,False,False,,83.0,,81.0,,77.0,,108
FY2024_FY2025,True,False,84.0,IPF5992614,STATE UNIVERSITY OF NEW YORK AT BUFFALO,University at Buffalo,1076755.0,2,2,625098.0,1,0,4,NIH ORG_DEPT (contact PI),n/a,269189.0,156274.0,538378.0,538378.0,58.1,False,False,,83.0,,85.0,,82.0,,108
FY2024_FY2025,True,False,85.0,IPF3972901,UNIVERSITY OF IOWA,University of Iowa,839012.0,2,2,683512.0,1,0,3,NIH ORG_DEPT (contact PI),n/a,279671.0,227837.0,419506.0,419506.0,81.5,False,False,,83.0,,84.0,,82.0,,108
FY2024_FY2025,True,False,86.0,IPF4050801,THOMAS JEFFERSON UNIVERSITY,Thomas Jefferson University,771050.0,3,2,693050.0,2,0,2,NIH ORG_DEPT (contact PI),n/a,385525.0,346525.0,385525.0,257017.0,89.9,False,False,,81.0,,83.0,,77.0,,108
FY2024_FY2025,True,False,87.0,IPF578209,EAST CAROLINA UNIVERSITY,East Carolina University,754312.0,2,1,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,377156.0,0.0,754312.0,377156.0,0.0,False,False,,83.0,,88.0,,88.0,,108
FY2024_FY2025,True,False,88.0,IPF513809,FLORIDA INTERNATIONAL UNIVERSITY,Florida International,709718.0,1,1,709718.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,709718.0,709718.0,709718.0,709718.0,100.0,False,False,,95.0,,82.0,,82.0,,108
FY2024_FY2025,True,False,89.0,IPF578417,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,UTHealth Houston,691916.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,691916.0,0.0,691916.0,345958.0,0.0,False,False,,83.0,,88.0,,88.0,,108
FY2024_FY2025,True,False,90.0,IPF6297007,OREGON HEALTH & SCIENCE UNIVERSITY,OHSU,654602.0,5,3,0.0,0,0,3,NIH ORG_DEPT (contact PI),n/a,218201.0,0.0,218201.0,130920.0,0.0,False,False,,73.0,,88.0,,88.0,,108
FY2024_FY2025,True,False,91.0,IPF577902,LSU HEALTH SCIENCES CENTER,LSU Health New Orleans,528369.0,1,1,528369.0,1,0,2,NIH ORG_DEPT (contact PI),n/a,264184.0,264184.0,528369.0,528369.0,100.0,False,False,,95.0,,86.0,,82.0,,108
FY2024_FY2025,True,False,92.0,IPF1484303,UNIVERSITY OF KANSAS MEDICAL CENTER,Kansas Medical Center,474168.0,1,1,474168.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,474168.0,474168.0,474168.0,474168.0,100.0,False,False,,95.0,,87.0,,82.0,,108
FY2024_FY2025,True,False,93.0,IPF8285902,TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,Texas Tech Health Sciences,438087.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,438087.0,0.0,438087.0,219044.0,0.0,False,False,,83.0,,88.0,,88.0,,108
