period,is_ranked,is_reconstructed,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,is_rollup,rank_if_single_entity,rank_award_years,rank_award_years_if_single_entity,rank_r01_funding,rank_r01_funding_if_single_entity,rank_r01_award_years,rank_r01_award_years_if_single_entity,n_ranked
FY2024_FY2025,False,True,,MGB_CORE,Mass General Brigham,Mass General Brigham,104576157.0,133,75,38273139.0,70,0,54,Reconstructed from publication affiliations (lower bound),corroborated,1936596.0,708762.0,1394349.0,786287.0,36.6,True,True,1.0,,1.0,,1.0,,1.0,108
FY2024_FY2025,True,False,1.0,IPF2221101,DUKE UNIVERSITY,Duke,95855508.0,104,63,25991183.0,39,0,59,NIH ORG_DEPT (contact PI),n/a,1624670.0,440529.0,1521516.0,921688.0,27.1,True,False,,2.0,,3.0,,5.0,,108
FY2024_FY2025,True,False,2.0,IPF9083901,WASHINGTON UNIVERSITY,WashU St. Louis,65624506.0,87,47,21888056.0,47,0,58,NIH ORG_DEPT (contact PI),n/a,1131457.0,377380.0,1396266.0,754305.0,33.4,True,False,,4.0,,7.0,,2.0,,108
FY2024_FY2025,True,True,3.0,MGH,Massachusetts General Hospital,Massachusetts General Hospital,65354123.0,90,52,24902369.0,47,0,37,Reconstructed from publication affiliations (lower bound),corroborated,1766328.0,673037.0,1256810.0,726157.0,38.1,True,False,,3.0,,4.0,,2.0,,108
FY2024_FY2025,True,False,4.0,IPF1506502,UNIVERSITY OF MICHIGAN AT ANN ARBOR,Michigan,48421993.0,111,67,34352518.0,64,0,68,NIH ORG_DEPT (contact PI),n/a,712088.0,505184.0,722716.0,436234.0,70.9,True,False,,1.0,,1.0,,1.0,,108
FY2024_FY2025,True,False,5.0,IPF577508,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",UCSF,48021945.0,66,40,15975139.0,20,0,41,NIH ORG_DEPT (contact PI),n/a,1171267.0,389638.0,1200549.0,727605.0,33.3,True,False,,6.0,,14.0,,24.0,,108
FY2024_FY2025,True,False,6.0,IPF6463801,UNIVERSITY OF PENNSYLVANIA,Penn,46976211.0,38,23,11307837.0,18,0,32,NIH ORG_DEPT (contact PI),n/a,1468007.0,353370.0,2042444.0,1236216.0,24.1,True,False,,20.0,,27.0,,29.0,,108
FY2024_FY2025,True,True,7.0,IPF5079202,Memorial Sloan Kettering,Memorial Sloan Kettering,44976210.0,25,15,7670804.0,12,0,13,Reconstructed from publication affiliations (lower bound),corroborated,3459708.0,590062.0,2998414.0,1799048.0,17.1,True,False,,36.0,,35.0,,41.0,,108
FY2024_FY2025,True,False,8.0,IPF1450402,UNIVERSITY OF MINNESOTA,Minnesota,39708791.0,50,31,16559726.0,23,0,47,NIH ORG_DEPT (contact PI),n/a,844868.0,352335.0,1280929.0,794176.0,41.7,True,False,,12.0,,10.0,,15.0,,108
FY2024_FY2025,True,True,9.0,BWH,Brigham and Women's Hospital,Brigham and Women's Hospital,39222034.0,43,23,13370770.0,23,0,17,Reconstructed from publication affiliations (lower bound),corroborated,2307178.0,786516.0,1705306.0,912140.0,34.1,True,False,,16.0,,19.0,,15.0,,108
FY2024_FY2025,True,False,10.0,IPF6144650,NORTHWESTERN UNIVERSITY AT CHICAGO,Northwestern,37430105.0,46,28,14366769.0,22,0,25,NIH ORG_DEPT (contact PI),n/a,1497204.0,574671.0,1336789.0,813698.0,38.4,True,False,,13.0,,16.0,,21.0,,108
FY2024_FY2025,True,False,11.0,IPF2059802,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,Pittsburgh,36574421.0,81,45,23343997.0,35,0,48,NIH ORG_DEPT (contact PI),n/a,761967.0,486333.0,812765.0,451536.0,63.8,True,False,,5.0,,5.0,,6.0,,108
