period,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2021_FY2025,22,IPF577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",UC San Diego,48149298.0,104,45,31186377.0,65,0,34,NIH ORG_DEPT (contact PI),n/a,1416156.0,917246.0,1069984.0,462974.0,64.8,True,19,17,11
FY2021_FY2025,23,IPF820104,UNIVERSITY OF MARYLAND BALTIMORE,Maryland Baltimore,45150359.0,91,37,34566469.0,65,0,26,NIH ORG_DEPT (contact PI),n/a,1736552.0,1329480.0,1220280.0,496158.0,76.6,True,24,13,11
FY2021_FY2025,24,IPF1514803,WEILL MEDICAL COLL OF CORNELL UNIV,Weill Cornell,44485966.0,84,35,32763274.0,56,0,37,NIH ORG_DEPT (contact PI),n/a,1202323.0,885494.0,1271028.0,529595.0,73.6,True,27,16,20
FY2021_FY2025,25,IPF2384501,EMORY UNIVERSITY,Emory,43011749.0,102,39,29649645.0,62,0,31,NIH ORG_DEPT (contact PI),n/a,1387476.0,956440.0,1102865.0,421684.0,68.9,True,21,20,15
FY2021_FY2025,26,IPF5221250,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,Miami,42770965.0,116,47,27543403.0,64,0,33,NIH ORG_DEPT (contact PI),n/a,1296090.0,834649.0,910021.0,368715.0,64.4,True,15,26,13
FY2021_FY2025,27,IPF577503,UNIVERSITY OF CALIFORNIA AT DAVIS,UC Davis,42008545.0,67,24,10537878.0,18,0,19,NIH ORG_DEPT (contact PI),n/a,2210976.0,554625.0,1750356.0,626993.0,25.1,True,34,43,47
FY2021_FY2025,28,IPF1526402,UNIVERSITY OF VIRGINIA,Virginia,41520005.0,75,29,32847546.0,49,0,35,NIH ORG_DEPT (contact PI),n/a,1186286.0,938501.0,1431724.0,553600.0,79.1,True,30,15,27
FY2021_FY2025,29,IPF1288803,UNIVERSITY OF ALABAMA AT BIRMINGHAM,UAB,40407663.0,107,42,21267130.0,42,0,42,NIH ORG_DEPT (contact PI),n/a,962087.0,506360.0,962087.0,377642.0,52.6,True,17,31,29
FY2021_FY2025,30,IPF481201,BAYLOR COLLEGE OF MEDICINE,Baylor College of Medicine,35855220.0,85,36,25741980.0,50,0,32,NIH ORG_DEPT (contact PI),n/a,1120476.0,804437.0,995978.0,421826.0,71.8,True,25,27,25
FY2021_FY2025,31,IPF9420201,YALE UNIVERSITY,Yale,35413318.0,68,26,27972670.0,51,0,24,NIH ORG_DEPT (contact PI),n/a,1475555.0,1165528.0,1362051.0,520784.0,79.0,True,33,25,22
