period,definition,total_funding,award_years,distinct_projects,r01_funding,institutions,specialties_included
FY2025,narrow,1184202551.0,2120,2016,669195381.0,89,"GENERAL_AND_UNSPECIFIED_SURGERY, NEUROSURGERY, ORTHOPEDIC_SURGERY, OTOLARYNGOLOGY_HNS, PLASTIC_SURGERY, UROLOGY"
FY2025,broad,1821569804.0,3366,3193,1044356831.0,104,"GENERAL_AND_UNSPECIFIED_SURGERY, NEUROSURGERY, OBGYN, OPHTHALMIC_SURGERY, ORTHOPEDIC_SURGERY, OTOLARYNGOLOGY_HNS, PLASTIC_SURGERY, UROLOGY"
FY2024_FY2025,narrow,2310842435.0,4421,2635,1312078123.0,94,"GENERAL_AND_UNSPECIFIED_SURGERY, NEUROSURGERY, ORTHOPEDIC_SURGERY, OTOLARYNGOLOGY_HNS, PLASTIC_SURGERY, UROLOGY"
FY2024_FY2025,broad,3569423520.0,6976,4128,2053092352.0,109,"GENERAL_AND_UNSPECIFIED_SURGERY, NEUROSURGERY, OBGYN, OPHTHALMIC_SURGERY, ORTHOPEDIC_SURGERY, OTOLARYNGOLOGY_HNS, PLASTIC_SURGERY, UROLOGY"
FY2021_FY2025,narrow,5438325808.0,11115,4232,3077503519.0,102,"GENERAL_AND_UNSPECIFIED_SURGERY, NEUROSURGERY, ORTHOPEDIC_SURGERY, OTOLARYNGOLOGY_HNS, PLASTIC_SURGERY, UROLOGY"
FY2021_FY2025,broad,8402265599.0,17447,6515,4866104454.0,117,"GENERAL_AND_UNSPECIFIED_SURGERY, NEUROSURGERY, OBGYN, OPHTHALMIC_SURGERY, ORTHOPEDIC_SURGERY, OTOLARYNGOLOGY_HNS, PLASTIC_SURGERY, UROLOGY"
