period,specialty,nih_org_dept,total_funding,award_years,distinct_projects,direct_cost,indirect_cost,award_years_missing_cost,r01_funding,r01_award_years,r01_distinct_projects,m_funding,m_award_years,m_distinct_projects,funding_R01,awards_R01,funding_R_OTHER,awards_R_OTHER,funding_U,awards_U,funding_P,awards_P,funding_K,awards_K,funding_T,awards_T,funding_F,awards_F,funding_M,awards_M,funding_OTHER,awards_OTHER,funding_UNMAPPED,awards_UNMAPPED,non_r01_funding,non_r01_award_years,funded_investigators,funded_contact_pis,funding_per_investigator,funding_per_project,mean_award_size,r01_funding_per_investigator,projects_per_investigator,r01_share_of_funding,rank_total_funding,rank_award_years,rank_distinct_projects,rank_r01_funding,rank_r01_award_years,rank_m_award_years,meets_intensity_floor,rank_funding_per_investigator,rank_total_funding_if_single_entity,rank_award_years_if_single_entity,rank_distinct_projects_if_single_entity,rank_r01_funding_if_single_entity,rank_r01_award_years_if_single_entity,rank_m_award_years_if_single_entity,is_ranked,n_ranked,rank_peer_set
FY2025,BASIC_SCIENCE,BIOLOGY,800314316.0,1809,1688,567860521.0,239614433.0,0,329140375.0,669,603,0.0,0,0,329140375.0,669,298022310.0,765,56792369.0,40,46557493.0,27,7261745.0,44,33861789.0,77,7803793.0,154,0.0,0,20874442.0,33,0.0,0,471173941.0,1140,1764,1441,453693.0,474120.0,442407.0,186588.0,0.96,41.1,10.0,8.0,8.0,16.0,12.0,1.0,True,34.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,BASIC_SCIENCE,GENETICS,740854108.0,1156,1073,539451958.0,221239192.0,0,282864598.0,496,464,0.0,0,0,282864598.0,496,146656602.0,299,203652695.0,122,25434207.0,14,6301879.0,36,18567263.0,38,5666439.0,118,0.0,0,51710425.0,33,0.0,0,457989510.0,660,1139,785,650443.0,690451.0,640877.0,248345.0,0.94,38.2,11.0,18.0,18.0,18.0,17.0,1.0,True,4.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,RADIOLOGY_RADONC,RADIATION-DIAGNOSTIC/ONCOLOGY,682589382.0,1198,1150,483297581.0,208821563.0,0,440871113.0,759,725,0.0,0,0,440871113.0,759,68726626.0,171,67582983.0,75,55986557.0,30,11626391.0,68,8096366.0,27,2291715.0,48,0.0,0,27407631.0,20,0.0,0,241718269.0,439,1289,857,529550.0,593556.0,569774.0,342026.0,0.89,64.6,12.0,16.0,17.0,10.0,8.0,1.0,True,23.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,BASIC_SCIENCE,NEUROSCIENCES,669678353.0,1385,1343,474486111.0,206966456.0,0,402312952.0,718,690,0.0,0,0,402312952.0,718,103974541.0,220,66362582.0,41,42631773.0,20,8961886.0,63,16979678.0,48,12498105.0,258,0.0,0,15956836.0,17,0.0,0,267365401.0,667,1311,1034,510815.0,498644.0,483522.0,306875.0,1.02,60.1,13.0,10.0,10.0,11.0,10.0,1.0,True,28.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,BASIC_SCIENCE,ANATOMY/CELL BIOLOGY,601182303.0,1266,1189,413988575.0,190358588.0,0,331200285.0,614,574,0.0,0,0,331200285.0,614,150766348.0,313,50269273.0,41,25122369.0,15,7833010.0,52,14273281.0,36,8315964.0,176,0.0,0,13401773.0,19,0.0,0,269982018.0,652,1169,931,514271.0,505620.0,474868.0,283319.0,1.02,55.1,14.0,13.0,13.0,15.0,15.0,1.0,True,26.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,ENGINEERING,ENGINEERING (ALL TYPES),600897938.0,1235,1178,445623181.0,171089355.0,0,334731684.0,632,604,0.0,0,0,334731684.0,632,147701709.0,405,66067635.0,62,20781282.0,11,2851625.0,26,9101057.0,29,2677969.0,51,0.0,0,16984977.0,19,0.0,0,266166254.0,603,1374,943,437335.0,510100.0,486557.0,243618.0,0.86,55.7,15.0,15.0,14.0,14.0,14.0,1.0,True,37.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,SOCIAL_BEHAVIORAL,PSYCHOLOGY,568367593.0,1238,1172,431608741.0,157646772.0,0,343735730.0,612,561,0.0,0,0,343735730.0,612,99393552.0,269,54197330.0,36,33805505.0,21,17624123.0,99,11252997.0,34,7353578.0,163,0.0,0,1004778.0,4,0.0,0,224631863.0,626,1359,1027,418225.0,484955.0,459101.0,252933.0,0.86,60.5,16.0,14.0,15.0,13.0,16.0,1.0,True,39.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,GENERAL_AND_UNSPECIFIED_SURGERY,SURGERY,562295301.0,918,881,407571378.0,167880399.0,0,296437235.0,478,457,0.0,0,0,296437235.0,478,44423272.0,128,115065077.0,88,59940594.0,26,16635485.0,87,21185033.0,59,2495799.0,44,0.0,0,6112806.0,8,0.0,0,265858066.0,440,993,663,566259.0,638247.0,612522.0,298527.0,0.89,52.7,17.0,20.0,20.0,17.0,18.0,1.0,True,12.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,PHYSICAL_SCIENCE,CHEMISTRY,562062055.0,1319,1248,399980347.0,166128005.0,0,190092235.0,406,379,0.0,0,0,190092235.0,406,290816866.0,731,12228247.0,10,29993249.0,16,1220326.0,11,20566628.0,43,4498545.0,79,0.0,0,12645959.0,23,0.0,0,371969820.0,913,1227,1060,458078.0,450370.0,426127.0,154924.0,1.02,33.8,18.0,12.0,12.0,23.0,21.0,1.0,True,32.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,BASIC_SCIENCE,PHYSIOLOGY,558840853.0,1196,1161,393101734.0,171591914.0,0,363607150.0,684,661,0.0,0,0,363607150.0,684,97199820.0,246,25663223.0,20,29118786.0,15,6694548.0,43,20515776.0,46,5735266.0,128,0.0,0,10306284.0,14,0.0,0,195233703.0,512,1113,866,502103.0,481344.0,467258.0,326691.0,1.04,65.1,19.0,17.0,16.0,12.0,11.0,1.0,True,29.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,ENGINEERING,BIOMEDICAL ENGINEERING,466423997.0,961,920,341609062.0,130619416.0,0,266325421.0,477,457,0.0,0,0,266325421.0,477,94135027.0,244,57964840.0,57,17493915.0,10,2743145.0,23,10276076.0,32,4994007.0,101,0.0,0,12491566.0,17,0.0,0,200098576.0,484,1006,702,463642.0,506983.0,485353.0,264737.0,0.91,57.1,20.0,19.0,19.0,19.0,19.0,1.0,True,31.0,,,,,,,True,44,NIH department values with a recorded department
