rank,canonical_org_id,display_name,total_funding,award_years,distinct_projects,r01_award_years,funded_investigators,r01_funding,m_award_years,period,confidence_floor,nih_total_funding,nih_award_years,nih_funded_investigators,funding_per_investigator,mean_award_size,funding_per_project,r01_share_of_funding,nih_vs_publication_ratio,nih_comparable
1,IPF2221101,Duke,141572380.0,71.0,40.0,27.0,26.0,19862126.0,0.0,FY2024_FY2025,corroborated,95855508.0,104.0,59.0,5445092.0,1993977.0,3539310.0,14.0,0.68,True
2,IPF1833205,Columbia,134859100.0,205.0,128.0,116.0,71.0,69015844.0,0.0,FY2024_FY2025,corroborated,23534626.0,35.0,19.0,1899424.0,657849.0,1053587.0,51.2,0.17,True
3,IPF6463801,Penn,45628302.0,32.0,19.0,14.0,12.0,8989525.0,0.0,FY2024_FY2025,corroborated,46976211.0,38.0,32.0,3802358.0,1425884.0,2401490.0,19.7,1.03,True
4,IPF1506502,Michigan,33306188.0,75.0,49.0,46.0,30.0,23295807.0,0.0,FY2024_FY2025,corroborated,48421993.0,111.0,68.0,1110206.0,444083.0,679718.0,69.9,1.45,True
5,IPF4134401,Johns Hopkins,33044277.0,55.0,33.0,25.0,23.0,17112347.0,0.0,FY2024_FY2025,corroborated,20955206.0,34.0,24.0,1436708.0,600805.0,1001342.0,51.8,0.63,True
6,IPF481201,Baylor College of Medicine,32517287.0,45.0,24.0,32.0,10.0,16166220.0,0.0,FY2024_FY2025,corroborated,17296178.0,35.0,29.0,3251729.0,722606.0,1354887.0,49.7,0.53,True
7,IPF6218701,Ohio State,27034610.0,29.0,18.0,18.0,13.0,8216715.0,0.0,FY2024_FY2025,corroborated,33668167.0,46.0,34.0,2079585.0,932228.0,1501923.0,30.4,1.25,True
8,IPF6144650,Northwestern,26204395.0,36.0,24.0,19.0,14.0,12221800.0,0.0,FY2024_FY2025,corroborated,37430105.0,46.0,25.0,1871742.0,727900.0,1091850.0,46.6,1.43,True
9,IPF9083901,WashU St. Louis,25840268.0,44.0,25.0,34.0,14.0,18335229.0,0.0,FY2024_FY2025,corroborated,65624506.0,87.0,58.0,1845733.0,587279.0,1033611.0,71.0,2.54,True
10,IPF577508,UCSF,20893004.0,28.0,17.0,12.0,12.0,12655629.0,0.0,FY2024_FY2025,corroborated,48021945.0,66.0,41.0,1741084.0,746179.0,1229000.0,60.6,2.3,True
11,IPF5221250,Miami,19650427.0,40.0,23.0,25.0,14.0,14514856.0,0.0,FY2024_FY2025,corroborated,18108352.0,41.0,23.0,1403602.0,491261.0,854366.0,73.9,0.92,True
12,IPF8046501,Stanford,19628867.0,50.0,27.0,39.0,16.0,17956684.0,0.0,FY2024_FY2025,corroborated,32188398.0,57.0,32.0,1226804.0,392577.0,726995.0,91.5,1.64,True
13,IPF1514803,Weill Cornell,16152085.0,30.0,18.0,22.0,9.0,13442687.0,0.0,FY2024_FY2025,corroborated,18797835.0,33.0,25.0,1794676.0,538403.0,897338.0,83.2,1.16,True
14,IPF577505,UCLA,15459136.0,23.0,15.0,15.0,11.0,9181041.0,0.0,FY2024_FY2025,corroborated,17067341.0,32.0,22.0,1405376.0,672136.0,1030609.0,59.4,1.1,True
15,IPF2059802,Pittsburgh,14120702.0,36.0,23.0,16.0,17.0,8755499.0,0.0,FY2024_FY2025,corroborated,36574421.0,81.0,48.0,830630.0,392242.0,613944.0,62.0,2.59,True
16,IPF2384501,Emory,13645857.0,34.0,16.0,20.0,10.0,9890937.0,0.0,FY2024_FY2025,corroborated,15733142.0,38.0,17.0,1364586.0,401349.0,852866.0,72.5,1.15,True
17,IPF577507,UC San Diego,13465910.0,21.0,13.0,12.0,7.0,6089865.0,0.0,FY2024_FY2025,corroborated,18623541.0,42.0,25.0,1923701.0,641234.0,1035839.0,45.2,1.38,True
18,IPF513806,Florida,12315445.0,24.0,15.0,15.0,11.0,6959511.0,0.0,FY2024_FY2025,corroborated,30372677.0,59.0,44.0,1119586.0,513144.0,821030.0,56.5,2.47,True
19,IPF9420201,Yale,11602082.0,27.0,15.0,23.0,10.0,11299095.0,0.0,FY2024_FY2025,corroborated,14796317.0,30.0,18.0,1160208.0,429707.0,773472.0,97.4,1.28,True
20,IPF577503,UC Davis,10237362.0,17.0,12.0,13.0,6.0,5852328.0,0.0,FY2024_FY2025,corroborated,18231881.0,28.0,14.0,1706227.0,602198.0,853114.0,57.2,1.78,True
21,IPF1526402,Virginia,9787582.0,24.0,16.0,13.0,11.0,7586424.0,0.0,FY2024_FY2025,corroborated,23978398.0,38.0,31.0,889780.0,407816.0,611724.0,77.5,2.45,True
22,IPF1450402,Minnesota,9720675.0,27.0,18.0,12.0,13.0,6339142.0,0.0,FY2024_FY2025,corroborated,39708791.0,50.0,47.0,747744.0,360025.0,540038.0,65.2,4.08,True
