period,rank,is_ranked,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2021_FY2025,31.0,True,IPF577806,INDIANA UNIVERSITY INDIANAPOLIS,Indiana Indianapolis,33022579.0,76,37,22695258.0,39,0,33,NIH ORG_DEPT (contact PI),n/a,1000684.0,687735.0,892502.0,434508.0,68.7,True,27.0,26.0,30.0
FY2021_FY2025,32.0,True,IPF514002,UNIVERSITY OF UTAH,University of Utah,30160831.0,81,36,20607123.0,41,0,32,NIH ORG_DEPT (contact PI),n/a,942526.0,643973.0,837801.0,372356.0,68.3,True,26.0,30.0,29.0
FY2021_FY2025,33.0,True,IPF1413601,UNIVERSITY OF CHICAGO,University of Chicago,28868179.0,58,22,19443736.0,38,0,21,NIH ORG_DEPT (contact PI),n/a,1374675.0,925892.0,1312190.0,497727.0,67.4,True,36.0,31.0,31.0
FY2021_FY2025,34.0,True,IPF578404,UT SOUTHWESTERN MEDICAL CENTER,UT Southwestern,28238977.0,71,29,22133616.0,51,0,24,NIH ORG_DEPT (contact PI),n/a,1176624.0,922234.0,973758.0,397732.0,78.4,True,30.0,27.0,20.0
FY2021_FY2025,35.0,True,IPF578206,UNIV OF NORTH CAROLINA CHAPEL HILL,UNC Chapel Hill,28095979.0,56,21,9068596.0,18,0,21,NIH ORG_DEPT (contact PI),n/a,1337904.0,431838.0,1337904.0,501714.0,32.3,True,37.0,43.0,45.0
FY2021_FY2025,36.0,True,IPF2793601,UNIVERSITY OF KENTUCKY,University of Kentucky,27803771.0,49,17,9047427.0,19,0,15,NIH ORG_DEPT (contact PI),n/a,1853585.0,603162.0,1635516.0,567424.0,32.5,True,39.0,44.0,44.0
FY2021_FY2025,37.0,True,IPF4679701,UNIVERSITY OF LOUISVILLE,University of Louisville,23385039.0,35,13,11348774.0,23,0,11,NIH ORG_DEPT (contact PI),n/a,2125913.0,1031707.0,1798849.0,668144.0,48.5,True,40.0,39.0,38.0
FY2021_FY2025,38.0,True,IPF7575301,MEDICAL UNIVERSITY OF SOUTH CAROLINA,MUSC,22313446.0,50,21,17310335.0,33,0,15,NIH ORG_DEPT (contact PI),n/a,1487563.0,1154022.0,1062545.0,446269.0,77.6,True,38.0,32.0,33.0
FY2021_FY2025,39.0,True,IPF490201,UNIVERSITY OF ARIZONA,University of Arizona,20218407.0,59,16,14021917.0,27,0,22,NIH ORG_DEPT (contact PI),n/a,919018.0,637360.0,1263650.0,342685.0,69.4,True,34.0,35.0,34.0
FY2021_FY2025,40.0,True,IPF10034168,RUTGERS BIOMEDICAL AND HEALTH SCIENCES,Rutgers Health (RBHS),20019319.0,30,9,4712964.0,8,0,9,NIH ORG_DEPT (contact PI),n/a,2224369.0,523663.0,2224369.0,667311.0,23.5,True,48.0,55.0,59.0
FY2021_FY2025,41.0,True,IPF7636101,UNIVERSITY OF SOUTHERN CALIFORNIA,USC,18077809.0,59,22,8018628.0,20,0,20,NIH ORG_DEPT (contact PI),n/a,903890.0,400931.0,821719.0,306404.0,44.4,True,34.0,47.0,41.0
FY2021_FY2025,42.0,True,IPF1524204,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,Penn State Hershey,16924605.0,25,13,14992998.0,21,0,11,NIH ORG_DEPT (contact PI),n/a,1538600.0,1363000.0,1301893.0,676984.0,88.6,True,50.0,34.0,40.0
FY2021_FY2025,43.0,True,IPF10000858,CLEVELAND CLINIC LERNER COM-CWRU,Cleveland Clinic,14568334.0,29,12,10243826.0,20,0,13,NIH ORG_DEPT (contact PI),n/a,1120641.0,787987.0,1214028.0,502356.0,70.3,True,49.0,42.0,41.0
FY2021_FY2025,44.0,True,IPF578104,UNIVERSITY OF NEBRASKA MEDICAL CENTER,Nebraska Medical Center,14393470.0,33,12,12300585.0,25,0,9,NIH ORG_DEPT (contact PI),n/a,1599274.0,1366732.0,1199456.0,436166.0,85.5,True,44.0,36.0,35.0
FY2021_FY2025,45.0,True,IPF9021205,WAKE FOREST UNIVERSITY HEALTH SCIENCES,Wake Forest,13718145.0,34,16,6709943.0,11,0,23,NIH ORG_DEPT (contact PI),n/a,596441.0,291737.0,857384.0,403475.0,48.9,True,41.0,49.0,52.0
FY2021_FY2025,46.0,True,IPF46001,MEDICAL COLLEGE OF WISCONSIN,Medical College of Wisconsin,13375219.0,32,11,11550425.0,23,0,12,NIH ORG_DEPT (contact PI),n/a,1114602.0,962535.0,1215929.0,417976.0,86.4,True,45.0,38.0,38.0
FY2021_FY2025,47.0,True,IPF353201,VIRGINIA COMMONWEALTH UNIVERSITY,VCU,13083133.0,24,10,8452140.0,16,0,9,NIH ORG_DEPT (contact PI),n/a,1453681.0,939127.0,1308313.0,545131.0,64.6,True,51.0,45.0,48.0
