period,rank,is_ranked,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2025,1.0,True,MGB_CORE,Mass General Brigham,Mass General Brigham,54705655.0,65,60,19173629.0,33,0,46,Reconstructed from publication affiliations (lower bound),all_evidence,1189253.0,416818.0,911761.0,841625.0,35.0,True,1.0,1.0,1.0
FY2025,2.0,True,IPF2221101,DUKE UNIVERSITY,Duke,47258163.0,47,46,14493464.0,18,0,46,NIH ORG_DEPT (contact PI),n/a,1027351.0,315075.0,1027351.0,1005493.0,30.7,True,3.0,3.0,5.0
FY2025,,False,MGH,Massachusetts General Hospital,Massachusetts General Hospital,34603957.0,45,43,13391852.0,24,0,32,Reconstructed from publication affiliations (lower bound),all_evidence,1081374.0,418495.0,804743.0,768977.0,38.7,True,,,
FY2025,3.0,True,IPF9083901,WASHINGTON UNIVERSITY,WashU St. Louis,31820064.0,38,34,9638157.0,19,0,47,NIH ORG_DEPT (contact PI),n/a,677023.0,205067.0,935884.0,837370.0,30.3,True,4.0,8.0,4.0
FY2025,4.0,True,IPF577508,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",UCSF,27918696.0,35,34,10180093.0,11,0,38,NIH ORG_DEPT (contact PI),n/a,734703.0,267897.0,821138.0,797677.0,36.5,True,6.0,7.0,15.0
FY2025,5.0,True,IPF6463801,UNIVERSITY OF PENNSYLVANIA,Penn,25231393.0,17,17,6686508.0,10,0,27,NIH ORG_DEPT (contact PI),n/a,934496.0,247648.0,1484200.0,1484200.0,26.5,True,22.0,20.0,21.0
FY2025,6.0,True,IPF1506502,UNIVERSITY OF MICHIGAN AT ANN ARBOR,Michigan,22045654.0,49,49,15145336.0,26,0,53,NIH ORG_DEPT (contact PI),n/a,415956.0,285761.0,449911.0,449911.0,68.7,True,2.0,2.0,2.0
FY2025,,False,BWH,Brigham and Women's Hospital,Brigham and Women's Hospital,20101698.0,20,17,5781777.0,9,0,14,Reconstructed from publication affiliations (lower bound),all_evidence,1435836.0,412984.0,1182453.0,1005085.0,28.8,True,,,
FY2025,7.0,True,IPF2059802,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,Pittsburgh,19224779.0,38,37,12136658.0,18,0,41,NIH ORG_DEPT (contact PI),n/a,468897.0,296016.0,519589.0,505915.0,63.1,True,4.0,5.0,5.0
FY2025,8.0,True,IPF5998304,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NYU Grossman,19001796.0,33,30,13786095.0,21,0,27,NIH ORG_DEPT (contact PI),n/a,703770.0,510596.0,633393.0,575812.0,72.6,True,7.0,4.0,3.0
FY2025,9.0,True,IPF8046501,STANFORD UNIVERSITY,Stanford,17940324.0,26,24,9288180.0,14,0,26,NIH ORG_DEPT (contact PI),n/a,690012.0,357238.0,747514.0,690012.0,51.8,True,10.0,10.0,9.0
FY2025,10.0,True,IPF6144650,NORTHWESTERN UNIVERSITY AT CHICAGO,Northwestern,17572168.0,21,21,7327799.0,11,0,20,NIH ORG_DEPT (contact PI),n/a,878608.0,366390.0,836770.0,836770.0,41.7,True,13.0,18.0,15.0
FY2025,11.0,True,IPF6218701,OHIO STATE UNIVERSITY,Ohio State,17455308.0,24,23,5986729.0,12,0,28,NIH ORG_DEPT (contact PI),n/a,623404.0,213812.0,758926.0,727304.0,34.3,True,11.0,23.0,13.0
FY2025,12.0,True,IPF1450402,UNIVERSITY OF MINNESOTA,Minnesota,16514952.0,23,22,8120502.0,11,0,33,NIH ORG_DEPT (contact PI),n/a,500453.0,246076.0,750680.0,718041.0,49.2,True,12.0,14.0,15.0
FY2025,13.0,True,IPF578503,UNIVERSITY OF WISCONSIN-MADISON,Wisconsin–Madison,14609829.0,32,31,9449928.0,16,0,31,NIH ORG_DEPT (contact PI),n/a,471285.0,304836.0,471285.0,456557.0,64.7,True,8.0,9.0,7.0
FY2025,14.0,True,IPF578407,UNIVERSITY OF TX MD ANDERSON CAN CTR,MD Anderson,14138770.0,21,21,7902575.0,12,0,27,NIH ORG_DEPT (contact PI),n/a,523658.0,292688.0,673275.0,673275.0,55.9,True,13.0,15.0,13.0
FY2025,15.0,True,IPF513806,UNIVERSITY OF FLORIDA,Florida,14053656.0,29,28,8547250.0,15,0,33,NIH ORG_DEPT (contact PI),n/a,425868.0,259008.0,501916.0,484609.0,60.8,True,9.0,12.0,8.0
FY2025,16.0,True,IPF1526402,UNIVERSITY OF VIRGINIA,Virginia,13474054.0,18,18,11821094.0,13,0,25,NIH ORG_DEPT (contact PI),n/a,538962.0,472844.0,748559.0,748559.0,87.7,True,18.0,6.0,10.0
FY2025,17.0,True,IPF4134401,JOHNS HOPKINS UNIVERSITY,Johns Hopkins,12290262.0,17,17,8609536.0,10,0,20,NIH ORG_DEPT (contact PI),n/a,614513.0,430477.0,722957.0,722957.0,70.1,True,22.0,11.0,21.0
