period,entity,nih_org_dept,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,r01_distinct_projects,m_award_years,m_distinct_projects,funded_investigators
FY2025,IPF1499101,RADIATION-DIAGNOSTIC/ONCOLOGY,9443673.0,16,14,5540002.0,10,8,0,0,9
FY2025,IPF1499101,SURGERY,9440911.0,7,5,1377192.0,2,2,0,0,3
FY2025,IPF1499101,UROLOGY,961240.0,2,2,570212.0,1,1,0,0,2
FY2025,BIDMC,ANESTHESIOLOGY,10158242.0,10,10,8473247.0,8,8,0,0,7
FY2025,BIDMC,EMERGENCY MEDICINE,191193.0,1,1,0.0,0,0,0,0,1
FY2025,BIDMC,INTERNAL MEDICINE/MEDICINE,70038577.0,120,118,50110482.0,78,76,0,0,75
FY2025,BIDMC,NEUROLOGY,24085133.0,24,19,6627744.0,11,10,0,0,17
FY2025,BIDMC,OBSTETRICS & GYNECOLOGY,1932178.0,4,4,1325549.0,2,2,0,0,3
FY2025,BIDMC,ORTHOPEDICS,514021.0,2,2,0.0,0,0,0,0,1
FY2025,BIDMC,OTHER BASIC SCIENCES,8598172.0,5,5,442036.0,1,1,0,0,3
FY2025,BIDMC,PATHOLOGY,10547172.0,18,18,6272032.0,10,10,0,0,16
FY2025,BIDMC,PLASTIC SURGERY,1763999.0,2,2,434000.0,1,1,0,0,1
FY2025,BIDMC,PSYCHIATRY,2053473.0,6,6,1819722.0,4,4,0,0,5
FY2025,BIDMC,SURGERY,5812849.0,10,10,5082913.0,7,7,0,0,7
FY2025,BIDMC,UROLOGY,1122685.0,2,2,1122685.0,2,2,0,0,1
FY2025,IPF1225501,BIOSTATISTICS & OTHER MATH SCI,747626.0,2,2,0.0,0,0,0,0,2
FY2025,IPF1225501,INTERNAL MEDICINE/MEDICINE,52463945.0,74,73,34164112.0,56,56,0,0,51
FY2025,IPF1225501,NEUROLOGY,5189797.0,7,7,2263107.0,4,4,0,0,7
FY2025,IPF1225501,NEUROSURGERY,3135838.0,6,6,1626104.0,4,4,0,0,4
FY2025,IPF1225501,OPHTHALMOLOGY,1645848.0,4,4,1645848.0,4,4,0,0,1
FY2025,IPF1225501,ORTHOPEDICS,501978.0,1,1,501978.0,1,1,0,0,1
FY2025,IPF1225501,OTHER BASIC SCIENCES,3423181.0,7,7,2461443.0,4,4,0,0,4
FY2025,IPF1225501,PATHOLOGY,4658577.0,6,6,4658577.0,6,6,0,0,5
FY2025,IPF1225501,PEDIATRICS,5629853.0,6,6,2388976.0,4,4,0,0,2
FY2025,IPF1225501,RADIATION-DIAGNOSTIC/ONCOLOGY,6206650.0,7,7,4603436.0,6,6,0,0,5
FY2025,IPF1225501,SURGERY,759206.0,1,1,759206.0,1,1,0,0,1
FY2025,IPF1225501,UROLOGY,6681352.0,13,12,6251953.0,12,11,0,0,7
FY2025,IPF7893501,INTERNAL MEDICINE/MEDICINE,38849657.0,53,51,15223432.0,27,27,0,0,34
FY2025,IPF7893501,OTHER BASIC SCIENCES,26683086.0,37,37,15602705.0,24,24,0,0,22
FY2025,IPF7893501,PATHOLOGY,4999055.0,11,10,3005233.0,6,6,0,0,6
FY2025,IPF7893501,PEDIATRICS,2617105.0,5,5,1810983.0,3,3,0,0,5
FY2025,IPF7893501,PUBLIC HEALTH & PREV MEDICINE,11091597.0,9,9,4021761.0,5,5,0,0,8
FY2025,IPF7893501,RADIATION-DIAGNOSTIC/ONCOLOGY,1112335.0,2,2,894735.0,1,1,0,0,2
FY2025,IPF7893501,SURGERY,3545179.0,6,6,2776038.0,4,4,0,0,3
FY2025,IPF1531401,ANESTHESIOLOGY,5535235.0,7,7,2109755.0,3,3,0,0,4
FY2025,IPF1531401,INTERNAL MEDICINE/MEDICINE,33846820.0,50,48,22952107.0,26,24,0,0,34
FY2025,IPF1531401,NEUROLOGY,112691.0,1,1,0.0,0,0,0,0,1
FY2025,IPF1531401,OTHER BASIC SCIENCES,4603957.0,2,2,0.0,0,0,0,0,2
FY2025,IPF1531401,PEDIATRICS,34403011.0,41,39,23019125.0,26,24,0,0,29
FY2025,IPF1531401,PSYCHIATRY,1946672.0,3,3,1021649.0,1,1,0,0,3
FY2025,IPF1531401,PUBLIC HEALTH & PREV MEDICINE,220000.0,1,1,0.0,0,0,0,0,1
FY2025,IPF3058203,BIOSTATISTICS & OTHER MATH SCI,1000200.0,2,2,1000200.0,2,2,0,0,1
FY2025,IPF3058203,INTERNAL MEDICINE/MEDICINE,27859660.0,48,45,17420732.0,27,26,0,0,33
FY2025,IPF3058203,NEUROSURGERY,1011074.0,2,2,1011074.0,2,2,0,0,1
FY2025,IPF3058203,OTHER BASIC SCIENCES,9450388.0,17,17,5748224.0,10,10,0,0,12
FY2025,IPF3058203,OTHER HEALTH PROFESSIONS,323999.0,1,1,0.0,0,0,0,0,1
FY2025,IPF3058203,PATHOLOGY,401561.0,1,1,401561.0,1,1,0,0,1
FY2025,IPF3058203,PEDIATRICS,1847577.0,5,3,1847577.0,5,3,0,0,3
FY2025,IPF3058203,RADIATION-DIAGNOSTIC/ONCOLOGY,3598641.0,7,6,2856072.0,5,5,0,0,5
FY2025,IPF3058203,SURGERY,3438074.0,4,4,3438074.0,4,4,0,0,4
FY2025,IPF1495302,DENTISTRY,156746.0,1,1,0.0,0,0,0,0,1
FY2025,IPF1495302,INTERNAL MEDICINE/MEDICINE,8682336.0,22,22,5842309.0,12,12,0,0,16
FY2025,IPF1495302,NEUROLOGY,4256879.0,5,5,1366636.0,2,2,0,0,2
FY2025,IPF1495302,NEUROSURGERY,187635.0,1,1,0.0,0,0,0,0,1
FY2025,IPF1495302,OTHER BASIC SCIENCES,4500554.0,9,9,2793684.0,5,5,0,0,8
FY2025,IPF1495302,OTOLARYNGOLOGY,714320.0,1,1,714320.0,1,1,0,0,1
FY2025,IPF1495302,PATHOLOGY,2532378.0,1,1,0.0,0,0,0,0,1
FY2025,IPF1495302,PEDIATRICS,18543029.0,28,27,10042608.0,18,17,0,0,23
FY2025,IPF1495302,PSYCHIATRY,3294993.0,8,8,1938545.0,3,3,0,0,8
FY2025,IPF1495302,SURGERY,3389396.0,6,6,2999396.0,5,5,0,0,3
FY2025,IPF1495302,UROLOGY,117000.0,1,1,0.0,0,0,0,0,1
FY2025,IPF4976105,INTERNAL MEDICINE/MEDICINE,7907278.0,12,12,5175714.0,5,5,0,0,8
FY2025,IPF4976105,NEUROLOGY,10939822.0,7,6,2892878.0,2,2,0,0,6
FY2025,IPF4976105,OTHER BASIC SCIENCES,19496834.0,21,21,11526648.0,15,15,0,0,16
FY2025,IPF4976105,OTHER HEALTH PROFESSIONS,645465.0,1,1,645465.0,1,1,0,0,1
FY2025,IPF4976105,PATHOLOGY,140341.0,1,1,0.0,0,0,0,0,1
FY2025,IPF4976105,PUBLIC HEALTH & PREV MEDICINE,650300.0,1,1,650300.0,1,1,0,0,1
FY2025,IPF4976105,RADIATION-DIAGNOSTIC/ONCOLOGY,357994.0,1,1,357994.0,1,1,0,0,1
FY2025,IPF3736101,BIOSTATISTICS & OTHER MATH SCI,1484054.0,3,3,0.0,0,0,0,0,3
FY2025,IPF3736101,INTERNAL MEDICINE/MEDICINE,26454444.0,41,39,14085270.0,26,25,0,0,30
FY2025,IPF3736101,OTHER BASIC SCIENCES,6802962.0,13,13,4681378.0,9,9,0,0,9
FY2025,IPF3736101,PATHOLOGY,640021.0,1,1,640021.0,1,1,0,0,1
FY2025,IPF3736101,PUBLIC HEALTH & PREV MEDICINE,12792982.0,18,14,9257214.0,12,10,0,0,10
FY2025,IPF3736101,RADIATION-DIAGNOSTIC/ONCOLOGY,2288374.0,5,4,2015884.0,3,3,0,0,3
FY2025,IPF10005742,BIOMEDICAL ENGINEERING,1988339.0,3,3,1988339.0,3,3,0,0,1
FY2025,IPF10005742,BIOSTATISTICS & OTHER MATH SCI,403739.0,1,1,0.0,0,0,0,0,1
FY2025,IPF10005742,DENTISTRY,623140.0,1,1,623140.0,1,1,0,0,1
FY2025,IPF10005742,INTERNAL MEDICINE/MEDICINE,18668562.0,34,32,13986048.0,26,24,0,0,17
FY2025,IPF10005742,NEUROLOGY,2639501.0,4,4,2639501.0,4,4,0,0,3
FY2025,IPF10005742,NEUROSURGERY,3951998.0,11,10,3314093.0,7,7,0,0,7
FY2025,IPF10005742,ORTHOPEDICS,705334.0,1,1,705334.0,1,1,0,0,1
FY2025,IPF10005742,PATHOLOGY,5552672.0,4,4,5552672.0,4,4,0,0,2
FY2025,IPF10005742,SURGERY,8787241.0,14,14,7398143.0,11,11,0,0,8
FY2025,IPF10005742,UROLOGY,2789455.0,4,4,1143449.0,3,3,0,0,2
FY2025,IPF6959701,EMERGENCY MEDICINE,3485117.0,4,4,769471.0,1,1,0,0,3
FY2025,IPF6959701,INTERNAL MEDICINE/MEDICINE,11019303.0,21,19,5126851.0,8,8,0,0,12
FY2025,IPF6959701,ORTHOPEDICS,3277159.0,7,6,3277159.0,7,6,0,0,6
FY2025,IPF6959701,PEDIATRICS,4333258.0,7,6,578027.0,2,1,0,0,4
FY2025,IPF6959701,PLASTIC SURGERY,348826.0,1,1,348826.0,1,1,0,0,1
FY2025,IPF6959701,PSYCHIATRY,5944939.0,13,13,2684034.0,4,4,0,0,9
FY2025,IPF6959701,SURGERY,4098767.0,9,8,2085041.0,3,3,0,0,6
FY2025,IPF1520001,ANESTHESIOLOGY,2049614.0,5,5,1465854.0,2,2,0,0,3
FY2025,IPF1520001,INTERNAL MEDICINE/MEDICINE,8507540.0,11,11,7922328.0,7,7,0,0,10
FY2025,IPF1520001,NEUROSURGERY,193968.0,1,1,0.0,0,0,0,0,1
FY2025,IPF1520001,OPHTHALMOLOGY,797818.0,2,2,563214.0,1,1,0,0,2
FY2025,IPF1520001,PEDIATRICS,28326327.0,27,22,3307568.0,7,5,0,0,18
FY2025,IPF1520001,RADIATION-DIAGNOSTIC/ONCOLOGY,668942.0,1,1,668942.0,1,1,0,0,1
FY2025,IPF1520001,SURGERY,1240262.0,2,2,1240262.0,2,2,0,0,2
FY2025,IPF1520001,UROLOGY,968800.0,2,2,968800.0,2,2,0,0,2
FY2025,IPF1518602,EMERGENCY MEDICINE,682500.0,2,2,0.0,0,0,0,0,1
FY2025,IPF1518602,INTERNAL MEDICINE/MEDICINE,2997459.0,10,10,571961.0,1,1,0,0,8
FY2025,IPF1518602,NEUROLOGY,1082395.0,3,2,0.0,0,0,0,0,2
FY2025,IPF1518602,NEUROSURGERY,154562.0,1,1,0.0,0,0,0,0,1
FY2025,IPF1518602,OTHER BASIC SCIENCES,10413107.0,21,21,3533812.0,6,6,0,0,20
FY2025,IPF1518602,PEDIATRICS,5131956.0,10,10,3835704.0,5,5,0,0,8
FY2025,IPF1518602,PSYCHIATRY,1723093.0,6,5,1204248.0,2,2,0,0,5
FY2025,IPF1518602,SURGERY,4202090.0,8,8,3779180.0,6,6,0,0,7
FY2025,IPF4155008,EMERGENCY MEDICINE,418750.0,1,1,0.0,0,0,0,0,1
FY2025,IPF4155008,INTERNAL MEDICINE/MEDICINE,4513537.0,8,8,2519736.0,4,4,0,0,6
FY2025,IPF4155008,NEUROSURGERY,638872.0,1,1,638872.0,1,1,0,0,1
FY2025,IPF4155008,OTHER BASIC SCIENCES,3774589.0,9,9,1264265.0,3,3,0,0,6
FY2025,IPF4155008,PEDIATRICS,162000.0,1,1,0.0,0,0,0,0,1
FY2025,IPF4155008,PSYCHIATRY,8428245.0,9,9,6738677.0,7,7,0,0,6
FY2025,IPF4155008,RADIATION-DIAGNOSTIC/ONCOLOGY,511304.0,1,1,511304.0,1,1,0,0,1
FY2025,IPF3617301,FAMILY MEDICINE,542264.0,3,3,0.0,0,0,0,0,3
FY2025,IPF3617301,INTERNAL MEDICINE/MEDICINE,26392290.0,48,44,16988989.0,20,19,0,0,30
FY2025,IPF3617301,NEUROLOGY,751433.0,2,2,532674.0,1,1,0,0,2
FY2025,IPF3617301,OBSTETRICS & GYNECOLOGY,468191.0,1,1,468191.0,1,1,0,0,1
FY2025,IPF3617301,PEDIATRICS,1617576.0,6,6,748636.0,1,1,0,0,5
FY2025,IPF3617301,PSYCHIATRY,1544185.0,3,3,939784.0,1,1,0,0,3
FY2025,IPF1525701,EMERGENCY MEDICINE,623901.0,2,2,433821.0,1,1,0,0,2
FY2025,IPF1525701,INTERNAL MEDICINE/MEDICINE,9731371.0,15,15,6391413.0,6,6,0,0,15
FY2025,IPF1525701,NEUROLOGY,225180.0,1,1,0.0,0,0,0,0,1
FY2025,IPF1525701,ORTHOPEDICS,1191504.0,2,2,0.0,0,0,0,0,2
FY2025,IPF1525701,OTHER BASIC SCIENCES,3376320.0,5,5,2641778.0,4,4,0,0,3
FY2025,IPF1525701,OTOLARYNGOLOGY,597601.0,1,1,597601.0,1,1,0,0,1
FY2025,IPF1525701,PEDIATRICS,9382884.0,16,15,6293780.0,5,5,0,0,14
FY2025,IPF1525701,PSYCHIATRY,635073.0,1,1,635073.0,1,1,0,0,1
FY2025,IPF1525701,SURGERY,2369746.0,5,5,1586865.0,3,3,0,0,3
FY2025,IPF1525701,UROLOGY,708138.0,1,1,708138.0,1,1,0,0,1
FY2025,MEEI,OPHTHALMOLOGY,10628153.0,16,16,7255268.0,11,11,0,0,12
FY2025,MEEI,OTHER BASIC SCIENCES,1079168.0,2,2,1079168.0,2,2,0,0,2
FY2025,MEEI,OTOLARYNGOLOGY,18222696.0,31,30,9350221.0,17,16,0,0,21
FY2025,MGB_CORE,ANESTHESIOLOGY,36675941.0,59,55,19911573.0,26,22,0,0,37
FY2025,MGB_CORE,BIOSTATISTICS & OTHER MATH SCI,2065270.0,3,3,419114.0,1,1,0,0,2
FY2025,MGB_CORE,DERMATOLOGY,23078545.0,38,38,12416765.0,20,20,0,0,23
FY2025,MGB_CORE,EMERGENCY MEDICINE,8146647.0,12,12,5971281.0,5,5,0,0,10
FY2025,MGB_CORE,INTERNAL MEDICINE/MEDICINE,332427640.0,578,537,199886143.0,297,281,0,0,372
FY2025,MGB_CORE,NEUROLOGY,159019042.0,171,154,61542748.0,85,82,0,0,116
FY2025,MGB_CORE,NEUROSURGERY,9785968.0,19,19,7852983.0,15,15,0,0,13
FY2025,MGB_CORE,OBSTETRICS & GYNECOLOGY,18389759.0,13,13,10354014.0,9,9,0,0,9
FY2025,MGB_CORE,ORTHOPEDICS,6012549.0,11,10,5758548.0,9,8,0,0,5
FY2025,MGB_CORE,OTHER BASIC SCIENCES,48257289.0,78,77,31035925.0,46,45,0,0,50
FY2025,MGB_CORE,PATHOLOGY,37807726.0,54,54,19854880.0,31,31,0,0,33
FY2025,MGB_CORE,PEDIATRICS,11235395.0,28,25,9123213.0,16,15,0,0,20
FY2025,MGB_CORE,PLASTIC SURGERY,1730870.0,2,2,1730870.0,2,2,0,0,2
FY2025,MGB_CORE,PSYCHIATRY,70829716.0,126,119,34157901.0,48,45,0,0,90
FY2025,MGB_CORE,PUBLIC HEALTH & PREV MEDICINE,10596882.0,18,16,3631270.0,7,6,0,0,12
FY2025,MGB_CORE,RADIATION-DIAGNOSTIC/ONCOLOGY,103554831.0,165,163,64820747.0,93,92,0,0,116
FY2025,MGB_CORE,SURGERY,54705655.0,65,60,19173629.0,33,32,0,0,46
FY2025,MGB_CORE,UROLOGY,1526878.0,3,3,818926.0,2,2,0,0,2
FY2024_FY2025,MGH,ANESTHESIOLOGY,40814031.0,71,46,22395513.0,31,17,0,0,27
FY2024_FY2025,MGH,BIOSTATISTICS & OTHER MATH SCI,35525586.0,6,4,838975.0,2,1,0,0,2
FY2024_FY2025,MGH,DERMATOLOGY,25665051.0,46,25,14360483.0,28,14,0,0,10
FY2024_FY2025,MGH,EMERGENCY MEDICINE,10112991.0,14,10,7265208.0,7,4,0,0,6
FY2024_FY2025,MGH,INTERNAL MEDICINE/MEDICINE,285087166.0,541,312,164296679.0,260,146,0,0,210
FY2024_FY2025,MGH,NEUROLOGY,239928128.0,226,122,71874034.0,110,62,0,0,96
FY2024_FY2025,MGH,NEUROSURGERY,15085093.0,27,18,10303411.0,19,13,0,0,11
FY2024_FY2025,MGH,OBSTETRICS & GYNECOLOGY,19085718.0,13,9,10752517.0,9,6,0,0,5
FY2024_FY2025,MGH,ORTHOPEDICS,2193441.0,6,5,1754852.0,4,3,0,0,3
FY2024_FY2025,MGH,OTHER BASIC SCIENCES,62621077.0,111,66,40167058.0,65,37,0,0,47
FY2024_FY2025,MGH,PATHOLOGY,27432602.0,46,28,15366907.0,25,14,0,0,17
FY2024_FY2025,MGH,PEDIATRICS,15859556.0,41,27,11902194.0,20,12,0,0,18
FY2024_FY2025,MGH,PSYCHIATRY,123475859.0,244,139,59435788.0,90,46,0,0,98
FY2024_FY2025,MGH,PUBLIC HEALTH & PREV MEDICINE,10594733.0,21,11,5644930.0,10,5,0,0,8
FY2024_FY2025,MGH,RADIATION-DIAGNOSTIC/ONCOLOGY,169563216.0,279,173,96986921.0,156,91,0,0,106
FY2024_FY2025,MGH,SURGERY,65354123.0,90,52,24902369.0,47,25,0,0,37
FY2024_FY2025,MGH,UROLOGY,253458.0,2,2,253458.0,2,2,0,0,1
FY2024_FY2025,BWH,ANESTHESIOLOGY,13967071.0,32,18,6594924.0,10,6,0,0,12
FY2024_FY2025,BWH,DERMATOLOGY,18118409.0,34,20,9243515.0,13,7,0,0,13
FY2024_FY2025,BWH,EMERGENCY MEDICINE,2572796.0,8,7,1662462.0,3,3,0,0,6
FY2024_FY2025,BWH,INTERNAL MEDICINE/MEDICINE,386680952.0,643,382,243632167.0,360,205,0,0,238
FY2024_FY2025,BWH,NEUROLOGY,82645272.0,114,68,50148521.0,65,38,0,0,41
FY2024_FY2025,BWH,NEUROSURGERY,5140359.0,12,8,4949898.0,11,7,0,0,5
FY2024_FY2025,BWH,OBSTETRICS & GYNECOLOGY,6191288.0,11,7,3742071.0,6,3,0,0,6
FY2024_FY2025,BWH,ORTHOPEDICS,9483798.0,16,8,8854752.0,13,6,0,0,4
FY2024_FY2025,BWH,OTHER BASIC SCIENCES,25521432.0,45,25,18082032.0,27,14,0,0,10
FY2024_FY2025,BWH,PATHOLOGY,47141403.0,71,45,23601918.0,37,21,0,0,28
FY2024_FY2025,BWH,PEDIATRICS,8386084.0,18,9,7255516.0,11,5,0,0,8
FY2024_FY2025,BWH,PLASTIC SURGERY,2821449.0,4,2,2821449.0,4,2,0,0,2
FY2024_FY2025,BWH,PSYCHIATRY,35402395.0,35,22,8871946.0,12,8,0,0,15
FY2024_FY2025,BWH,PUBLIC HEALTH & PREV MEDICINE,7579448.0,13,9,2341778.0,4,2,0,0,7
FY2024_FY2025,BWH,RADIATION-DIAGNOSTIC/ONCOLOGY,32332644.0,59,36,26398632.0,39,24,0,0,30
FY2024_FY2025,BWH,SURGERY,39222034.0,43,23,13370770.0,23,12,0,0,17
FY2024_FY2025,BWH,UROLOGY,3168750.0,7,4,1596906.0,4,2,0,0,3
FY2024_FY2025,IPF10040927,ANESTHESIOLOGY,22417450.0,44,25,15141726.0,26,14,0,0,19
FY2024_FY2025,IPF10040927,BIOSTATISTICS & OTHER MATH SCI,157926379.0,29,14,7788072.0,11,7,0,0,8
FY2024_FY2025,IPF10040927,DERMATOLOGY,2323062.0,3,2,2323062.0,3,2,0,0,2
FY2024_FY2025,IPF10040927,EMERGENCY MEDICINE,41788849.0,14,9,3707485.0,4,4,0,0,6
FY2024_FY2025,IPF10040927,INTERNAL MEDICINE/MEDICINE,357754569.0,480,273,153827611.0,228,130,0,0,180
FY2024_FY2025,IPF10040927,NEUROLOGY,23390818.0,33,20,15615347.0,18,10,0,0,13
FY2024_FY2025,IPF10040927,NEUROSURGERY,1651551.0,6,3,1380472.0,4,1,0,0,3
FY2024_FY2025,IPF10040927,OBSTETRICS & GYNECOLOGY,1223763.0,3,2,1080417.0,2,1,0,0,2
FY2024_FY2025,IPF10040927,OPHTHALMOLOGY,7503053.0,16,10,5425321.0,12,7,0,0,9
FY2024_FY2025,IPF10040927,ORTHOPEDICS,4428265.0,8,5,4185776.0,7,4,0,0,5
FY2024_FY2025,IPF10040927,OTHER BASIC SCIENCES,32558684.0,22,12,8399843.0,13,7,0,0,10
FY2024_FY2025,IPF10040927,OTHER HEALTH PROFESSIONS,1050000.0,2,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF10040927,OTOLARYNGOLOGY,14398301.0,38,22,9427971.0,14,8,0,0,13
FY2024_FY2025,IPF10040927,PATHOLOGY,37233282.0,69,41,27386518.0,51,30,0,0,20
FY2024_FY2025,IPF10040927,PEDIATRICS,91486802.0,83,50,21934154.0,34,19,0,0,36
FY2024_FY2025,IPF10040927,PSYCHIATRY,18556273.0,35,20,13786069.0,17,10,0,0,17
FY2024_FY2025,IPF10040927,PUBLIC HEALTH & PREV MEDICINE,13839008.0,19,12,2060116.0,4,2,0,0,8
FY2024_FY2025,IPF10040927,RADIATION-DIAGNOSTIC/ONCOLOGY,23898012.0,51,33,14611261.0,31,19,0,0,19
FY2024_FY2025,IPF10040927,SURGERY,17802326.0,33,18,12991478.0,19,10,0,0,14
FY2024_FY2025,IPF10040927,UROLOGY,4962549.0,7,5,1569295.0,4,3,0,0,3
FY2024_FY2025,IPF10068583,BIOSTATISTICS & OTHER MATH SCI,2729428.0,9,7,0.0,0,0,0,0,6
FY2024_FY2025,IPF10068583,INTERNAL MEDICINE/MEDICINE,328546605.0,124,66,44757359.0,59,35,0,0,48
FY2024_FY2025,IPF10068583,NEUROLOGY,1485831.0,3,2,1485831.0,3,2,0,0,1
FY2024_FY2025,IPF10068583,NEUROSURGERY,2330536.0,6,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF10068583,OTHER BASIC SCIENCES,8541939.0,12,6,2433959.0,4,2,0,0,5
FY2024_FY2025,IPF10068583,PATHOLOGY,363058.0,2,2,0.0,0,0,0,0,2
FY2024_FY2025,IPF10068583,PEDIATRICS,6510686.0,8,4,1435661.0,2,1,0,0,3
FY2024_FY2025,IPF10068583,PUBLIC HEALTH & PREV MEDICINE,175462870.0,195,108,60769520.0,98,57,0,0,64
FY2024_FY2025,IPF10068583,RADIATION-DIAGNOSTIC/ONCOLOGY,140854.0,1,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF4976101,ANESTHESIOLOGY,4908562.0,12,7,3106627.0,5,3,0,0,6
FY2024_FY2025,IPF4976101,BIOSTATISTICS & OTHER MATH SCI,16730397.0,4,2,0.0,0,0,0,0,2
FY2024_FY2025,IPF4976101,INTERNAL MEDICINE/MEDICINE,167068407.0,303,183,103451553.0,178,104,0,0,124
FY2024_FY2025,IPF4976101,NEUROLOGY,63868309.0,58,35,16356770.0,30,19,0,0,28
FY2024_FY2025,IPF4976101,NEUROSURGERY,2850080.0,5,4,1034145.0,2,1,0,0,2
FY2024_FY2025,IPF4976101,OBSTETRICS & GYNECOLOGY,3872418.0,4,3,0.0,0,0,0,0,2
FY2024_FY2025,IPF4976101,OPHTHALMOLOGY,605023.0,4,2,0.0,0,0,0,0,1
FY2024_FY2025,IPF4976101,ORTHOPEDICS,12734433.0,24,16,6439089.0,13,8,0,0,12
FY2024_FY2025,IPF4976101,OTHER BASIC SCIENCES,67788938.0,153,94,49099144.0,99,59,0,0,59
FY2024_FY2025,IPF4976101,OTHER HEALTH PROFESSIONS,326284.0,2,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF4976101,PATHOLOGY,69800635.0,30,18,2907835.0,8,5,0,0,14
FY2024_FY2025,IPF4976101,PEDIATRICS,2665469.0,6,5,2577587.0,5,4,0,0,4
FY2024_FY2025,IPF4976101,PHYSICAL MEDICINE & REHAB,16303285.0,11,7,5964085.0,6,4,0,0,5
FY2024_FY2025,IPF4976101,PSYCHIATRY,7711177.0,14,9,7140202.0,11,7,0,0,6
FY2024_FY2025,IPF4976101,PUBLIC HEALTH & PREV MEDICINE,9214138.0,13,7,3354304.0,5,3,0,0,6
FY2024_FY2025,IPF4976101,RADIATION-DIAGNOSTIC/ONCOLOGY,58063245.0,93,54,42591895.0,74,42,0,0,35
FY2024_FY2025,IPF4976101,SURGERY,6734239.0,10,6,4912711.0,8,5,0,0,5
FY2024_FY2025,IPF4976101,UROLOGY,203676.0,1,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF1504801,ANESTHESIOLOGY,9691226.0,24,14,4202861.0,8,5,0,0,12
FY2024_FY2025,IPF1504801,BIOSTATISTICS & OTHER MATH SCI,5303386.0,7,4,693840.0,2,1,0,0,1
FY2024_FY2025,IPF1504801,EMERGENCY MEDICINE,2858810.0,3,2,1863198.0,2,1,0,0,2
FY2024_FY2025,IPF1504801,INTERNAL MEDICINE/MEDICINE,141866492.0,242,149,92123499.0,137,79,0,0,90
FY2024_FY2025,IPF1504801,NEUROLOGY,40716775.0,72,36,18738830.0,34,15,0,0,28
FY2024_FY2025,IPF1504801,NEUROSURGERY,1272528.0,3,2,1051278.0,2,1,0,0,2
FY2024_FY2025,IPF1504801,OPHTHALMOLOGY,6213155.0,14,8,5516092.0,11,6,0,0,7
FY2024_FY2025,IPF1504801,ORTHOPEDICS,4788475.0,9,7,1440766.0,3,2,0,0,3
FY2024_FY2025,IPF1504801,OTHER BASIC SCIENCES,48568039.0,91,58,34212677.0,51,32,0,0,38
FY2024_FY2025,IPF1504801,OTOLARYNGOLOGY,4659797.0,9,5,4527092.0,8,4,0,0,3
FY2024_FY2025,IPF1504801,PATHOLOGY,9857079.0,25,12,7024332.0,15,6,0,0,9
FY2024_FY2025,IPF1504801,PEDIATRICS,54393480.0,102,67,25472459.0,41,25,0,0,43
FY2024_FY2025,IPF1504801,PLASTIC SURGERY,641043.0,3,2,0.0,0,0,0,0,2
