period,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2024_FY2025,51,IPF513807,UNIVERSITY OF SOUTH FLORIDA,University of South Florida,4322052.0,12,7,2147134.0,6,0,8,NIH ORG_DEPT (contact PI),n/a,540256.0,268392.0,617436.0,360171.0,49.7,True,47,57,46
FY2024_FY2025,52,IPF578104,UNIVERSITY OF NEBRASKA MEDICAL CENTER,Nebraska Medical Center,4295601.0,10,7,3526941.0,7,0,5,NIH ORG_DEPT (contact PI),n/a,859120.0,705388.0,613657.0,429560.0,82.1,True,51,47,42
FY2024_FY2025,53,IPF1524204,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,Penn State Hershey,4279319.0,7,5,4112519.0,6,0,4,NIH ORG_DEPT (contact PI),n/a,1069830.0,1028130.0,855864.0,611331.0,96.1,False,55,43,46
FY2024_FY2025,54,IPF578002,UNIVERSITY OF MISSOURI-COLUMBIA,University of Missouri,4253255.0,11,7,3685319.0,7,0,5,NIH ORG_DEPT (contact PI),n/a,850651.0,737064.0,607608.0,386660.0,86.6,True,49,46,42
FY2024_FY2025,55,IPF10000858,CLEVELAND CLINIC LERNER COM-CWRU,Cleveland Clinic,4173533.0,7,6,2152315.0,3,0,5,NIH ORG_DEPT (contact PI),n/a,834707.0,430463.0,695589.0,596219.0,51.6,True,55,56,60
FY2024_FY2025,56,IPF1274603,EAST TENNESSEE STATE UNIVERSITY,East Tennessee State,3915421.0,10,7,3125171.0,6,0,5,NIH ORG_DEPT (contact PI),n/a,783084.0,625034.0,559346.0,391542.0,79.8,True,51,50,46
FY2024_FY2025,57,IPF894901,BOSTON UNIVERSITY MEDICAL CAMPUS,BU Medical Campus,3359957.0,11,6,1469183.0,5,0,8,NIH ORG_DEPT (contact PI),n/a,419995.0,183648.0,559993.0,305451.0,43.7,True,49,63,55
FY2024_FY2025,58,IPF8738101,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,University of Vermont,3096081.0,6,3,3096081.0,6,0,4,NIH ORG_DEPT (contact PI),n/a,774020.0,774020.0,1032027.0,516014.0,100.0,False,58,51,46
FY2024_FY2025,59,IPF578302,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,UTHSC Memphis,3010432.0,1,1,3010432.0,1,0,2,NIH ORG_DEPT (contact PI),n/a,1505216.0,1505216.0,3010432.0,3010432.0,100.0,False,80,52,68
FY2024_FY2025,60,IPF578403,UNIVERSITY OF TEXAS AT AUSTIN,UT Austin,2811719.0,5,4,1354247.0,2,0,6,NIH ORG_DEPT (contact PI),n/a,468620.0,225708.0,702930.0,562344.0,48.2,True,60,64,63
